id	viaf_id	wkp_id
a12430705	59205948	Q8020113
a11538272	4199172822069312920003	Q399963
a12151385	64062609	Q72106
a11540151	56620194	Q3735496
a11830852	310625342	Q16405880
a11138270	27053745	Q1649161
a12065444	47172818866812651968	NA
a11360124	3543149544587100490001	NA
a12478532	254142163	Q592648
a11819595	17172819124312652996	NA
a1204345x	71172818792612651718	NA
a11993121	83172818622212651077	NA
a11351962	32172818467712650481	NA
a1215605x	102172818792212651725	NA
a12038088	81333325	Q29553526
a11873668	32149542909900302636	NA
a12072722	89172818776112651634	NA
a11423201	73868039	Q123825
a12423956	NA	NA
a12407343	63785645	NA
a1113446x	6443149544609700490005	Q16407955
a12478775	39449790	NA
a11365857	44147423185544882261	Q127277789
a12268926	NA	NA
a12049396	162764824	NA
a11164724	5358147373424241580006	Q29419923
a12266723	15684570	Q24239742
a12046851	36950626	Q15990068
a11876918	80459967	Q12373796
a11515612	4699172822070012920004	NA
a12152365	162590016	NA
a12067386	7727418	Q2365871
a12000498	161023416	Q55912696
a12000474	33172818380712650082	NA
a11999287	36152380037401760664	Q112510468
a11423225	56617433	Q291638
a12429788	32000652	Q151097
a11136091	101361463	Q529309
a12269049	66690717	Q31086731
a12049372	22236743	Q24703480
a12259779	22139225	Q2330788
a11365833	28172818554312650804	NA
a1206791x	51172818474812650585	NA
a1264951x	110688780	Q66765138
a12152341	28282483	Q3812975
a11418588	22172818796412651764	NA
a12038945	59069493	Q4972443
a1150688x	22172819050812652715	NA
a11376478	79040329	Q355201
a11164062	16395903	Q59848679
a12429764	268551532	Q3067023
a12406363	110172818777112651654	NA
a11141013	31149542894100302350	NA
a1206337x	62172818636112651140	NA
a12071213	171946781	Q113730659
a12065468	92172819030012652625	NA
a11998878	41172819000912652517	NA
a11538296	70077844	Q17482358
a11513809	12426797	Q151836
a11368135	62343101	Q333426
a12403866	163300542	Q3487185
a11414182	35582347	Q335835
a12145439	6277160486122305180007	Q16403467
a12068123	268527978	Q118973
a11158645	2149542904200302541	Q12364368
a12427561	22398645	NA
a11546918	51707285	Q98112540
a1154384x	37541572	Q2634358
a1113544x	43682582	Q12372159
a12044891	100172819026412652598	NA
a11516616	4388149544593700490001	Q12378175
a1136452x	19172818716912651442	NA
a12154180	NA	NA
a1199678x	NA	NA
a1240603x	NA	NA
a12265767	61884152	Q18631697
a12260162	66172818924912652206	NA
a11424886	31149542909800302272	NA
a11164086	8012149544621400490002	Q6760916
a11141037	103251395	Q17447326
a1206693x	3136521	NA
a1154482x	30865622	Q4429161
a12408323	68172818932412652238	NA
a11514656	16658025	NA
a11376211	46172818776012651628	NA
a1248054x	27385613	Q112503972
a11839077	31172818796412651763	NA
a12261038	16150645079110620739	NA
a11994149	30172819039912652686	Q77233
a11918317	61981404	Q71042
a1186333x	708717	Q17351462
a12150381	41878502	Q316559
a1187157x	28172818385612650024	NA
a1114080x	120719476	Q232260
a11836337	61172819029912652620	NA
a11422245	16149542790300301541	NA
a11158621	3149542815200301887	NA
a12479779	2546172822066912920006	NA
a11539276	66474540	Q956441
a11370117	71414292	Q159700
a12424055	NA	NA
a12146109	70172818851812651944	NA
a12070233	41172818380812650080	NA
a11877017	9668149544633700490004	Q12362711
a11823409	8915149544628200490000	Q12364822
a11512805	48172818390312650130	NA
a11864643	32172818478312650535	NA
a1141375x	27149542909800302272	Q16405481
a11992165	8575430	Q5388515
