harmonized	original
Tallinn	Tallinn
Tartu	Tartu
Tartu	Dorpat
St. Petersburg	St. Petersburg
Pärnu	Pärnu
Viljandi	Viljandi
Stockholm	Stockholm
Riga	Riga
Helsinki	Helsinki
Toronto	Toronto
Kuressaare	Kuressaare
Narva	Narva
Lohkva	Lohkva
Rakvere	Rakvere
Võru	Võru
Paide	Paide
Lund	Lund
Haapsalu	Haapsalu
Tallinn	Revel
Berlin	Berlin
Riga	Riia
Leipzig	Leipzig
New York	New York
Tallinn	Tallinna
Valga	Valga
Moskva	Moskva
Jõgeva	Jõgeva
Uppsala	Uppsala
London	London
Paris	Paris
Göteborg	Göteborg
Rapla	Rapla
Saue	Saue
Vilnius	Vilnius
Keila	Keila
Kärdla	Kärdla
Helsinki	Helsingi
St. Petersburg	Peterburi
Kohtla-Järve	Kohtla-Järve
Budapest	Budapest
Hamburg	Hamburg
Põlva	Põlva
München	München
Elva	Elva
Riga	Rīga
Habaja	Habaja
Jõhvi	Jõhvi
Szczecin	Szczecin
Metsakasti	Metsakasti
Viljandi	Fellin
St. Petersburg	Peterburg
Praha	Praha
Sauga	Sauga
Turku	Turku
Viljandi	Wiljandi
Tõrva	Tõrva
Warszawa	Warszawa
Adelaide	Adelaide
Aespa	Aespa
Vadstena	Vadstena
Stuttgart	Stuttgart
Heilbronn	Heilbronn
Liivamäe	Liivamäe
Jyväskylä	Jyväskylä
Jena	Jena
Viimsi	Viimsi
Räpina	Räpina
Habaja	Habaja (Harjumaa)
Frankfurt am Main	Frankfurt am Main
Jädivere	Jädivere
Tartu	Tartu (Dorpat)
Aegviidu	Aegviidu
Rostock	Rostock
Riga	Rīgā
Sydney	Sydney
Muraste	Muraste
Uuesalu	Uuesalu
Copenhagen	Copenhagen
Jäneda	Jäneda
Porvoo	Porvoo
Wien	Wien
Tabasalu	Tabasalu
Amsterdam	Amsterdam
Tampere	Tampere
Göttingen	Göttingen
Oslo	Oslo
Stockholm	Stokholm
Lübeck	Lübeck
Augsburg	Augsburg
Halle	Halle
Köln	Köln
Turku	Åbo
Copenhagen	København
Washington, D.C	Washington, D.C
Harkujärve	Harkujärve
Melbourne	Melbourne
Harkujärve	Harkujärve küla
Väike-Maarja	Väike-Maarja
Haabneeme	Haabneeme
Lihula	Lihula
Värska	Värska
Ülenurme	Ülenurme
Baltimore	Baltimore
Bonn	Bonn
Hannover-Döhren	Hannover-Döhren
Moskva	Moskwa
Otepää	Otepää
Petseri	Petseri
Kiel	Kiel
Los Angeles	Los Angeles
Lüneburg	Lüneburg
Pärnu-Jaagupi	Pärnu-Jaagupi
Saarbrücken	Saarbrücken
Tõravere	Tõravere
Helsinki	Helsingfors
Vantaa	Vantaa
Bratislava	Bratislava
Nõo	Nõo
Maardu	Maardu
Imavere	Imavere
Luige (Harjumaa)	Luige (Harjumaa)
St. Petersburg	Petrograd
Puhja (Tartumaa)	Puhja (Tartumaa)
Iisaku	Iisaku
Koidu (Harjumaa)	Koidu (Harjumaa)
Dorpati	Dorpati
Kilingi-Nõmme	Kilingi-Nõmme
Sillamäe	Sillamäe
Weimar	Weimar
Brüssel	Brüssel
Heidelberg	Heidelberg
Kaunas	Kaunas
Märjamaa	Märjamaa
Oulu	Oulu
Wiesbaden	Wiesbaden
Kadrina	Kadrina
Roma	Roma
Strasbourg	Strasbourg
Wrocław	Wrocław
Greifswald	Greifswald
Jüri	Jüri
Kanepi	Kanepi
Kose-Uuemõisa	Kose-Uuemõisa
Moskva	Moscow
Nõmme [Tallinn]	Nõmme [Tallinn]
Vancouver	Vancouver
Leeningrad [!]	Leeningrad [!]
Rakvere	Rakwere
Tammneeme	Tammneeme
Montreal	Montreal
Obinitsa	Obinitsa
Tõrvandi	Tõrvandi
Erlangen	Erlangen
Kadrina [Lääne-Virumaa]	Kadrina [Lääne-Virumaa]
Kuusalu	Kuusalu
Roma	Rooma
St. Petersburg	St.-Pétersbourg
Geneva	Geneva
Moskva	Moskau
Brooklyn	Brooklyn
Kuressaare	Kingissepa
Oberpahlen	Oberpahlen
Pärnamäe	Pärnamäe
Alliku (Harjumaa)	Alliku (Harjumaa)
Borås	Borås
Hämeenlinna	Hämeenlinna
Käsmu	Käsmu
Abja-Paluoja	Abja-Paluoja
Giessen	Giessen
Jädivere	Jädivere küla
Leiden	Leiden
Muhu	Muhu
Muraste	Muraste (Harjumaa)
Vääna-Jõesuu	Vääna-Jõesuu
Chicago	Chicago
Ilmatsalu	Ilmatsalu
Kehtna	Kehtna
Milano	Milano
Münster	Münster
Nõmme [Tallinn]	Nõmme (Tallinn)
Palamuse	Palamuse
Tübingen	Tübingen
Viimsi (Harjumaa)	Viimsi (Harjumaa)
Örebro	Örebro
Antsla	Antsla
Bremen	Bremen
Jälgimäe	Jälgimäe
Koeru	Koeru
Narva-Jõesuu	Narva-Jõesuu
Paldiski	Paldiski
Basingstoke	Basingstoke
Kuopio	Kuopio
Philadelphia	Philadelphia
Suure-Jaani	Suure-Jaani
Zürich	Zürich
Imavere	Imavere [Järvamaa]
Kambja	Kambja
Karksi-Nuia	Karksi-Nuia
Kullamaa	Kullamaa
Leeningrad [!]	Leeningraad [!]
Lüganuse	Lüganuse
Minneapolis	Minneapolis
Niagara Falls (Kanada)	Niagara Falls (Kanada)
Omsk	Omsk
Puurmani	Puurmani
Põltsamaal	Põltsamaal
The Hague	The Hague
Alatskivi	Alatskivi
Aruvalla küla	Aruvalla küla
Brüssel	Bruxelles
Dresden	Dresden
Helme	Helme
Hilana	Hilana
Kadrina [Lääne-Virumaa]	Kadrina (Lääne-Virumaa)
Mustvee	Mustvee
Paduvere	Paduvere
Szombathely	Szombathely
Tallinn	Tallinn (Reval)
Tila küla	Tila küla
Tokyo	Tokyo
Varbuse	Varbuse
[Viborg], Taani	[Viborg], Taani
Bielefeld	Bielefeld
Darmstadt	Darmstadt
Haanja	Haanja
Imavere	Imavere (Järvamaa)
Joensuu	Joensuu
Järvakandi	Järvakandi
Copenhagen	Kopenhaagen
Krakow	Krakow
Kündja	Kündja
Luunja	Luunja
Norrköping	Norrköping
Rõngu	Rõngu
Zagreb	Zagreb
Abja	Abja
Augsburg-Hochfeld	Augsburg-Hochfeld
Braunschweig	Braunschweig
Wrocław	Breslau
Brüssel	Brussels
Järva-Jaani	Järva-Jaani
Jõelähtme	Jõelähtme
Malmö	Malmö
Marburg	Marburg
Mäetaguse	Mäetaguse
Nõmme [Tallinn]	Nõmmel [Tallinn]
Nürnberg	Nürnberg
Vana-Vigala	Vana-Vigala
Vastseliina	Vastseliina
Basel	Basel
Espoo	Espoo
Flensburg	Flensburg
Haapsalu	Hapsal
Järvaküla (Tartumaa)	Järvaküla (Tartumaa)
Karlsruhe	Karlsruhe
Kihnu	Kihnu
Kiili	Kiili
Kiviõli	Kiviõli
Kloogaranna	Kloogaranna
Koguva	Koguva
Krakow	Kraków
Leppneeme	Leppneeme
Linköping	Linköping
Luton	Luton
Madrid	Madrid
Melliste	Melliste
Roela	Roela
Tallinn	Tallin
Barcelona	Barcelona
Boston	Boston
Bucuresti	Bucuresti
Hannover	Hannover
Jelgava	Jelgava
Juuru	Juuru
Kehra	Kehra
Kündja	Kündja (Võrumaa)
Laiuse	Laiuse
Ljubljana	Ljubljana
Madise (Harjumaa)	Madise (Harjumaa)
Olustvere	Olustvere
Peetri (Harjumaa)	Peetri (Harjumaa)
Porkuni	Porkuni
Riga	Rigā
Kilingi-Nõmme	Saarde
Tallinn	Tallina
Vormsi	Vormsi
Bromma	Bromma
Cardiff	Cardiff
Danzig	Danzig
Erfurt	Erfurt
Gotha	Gotha
Haljala [Lääne-Virumaa]	Haljala [Lääne-Virumaa]
Häädemeeste	Häädemeeste
Oomiste	Oomiste
Petroskoi	Petroskoi
Pinneberg	Pinneberg
Portland	Portland
Püünsi	Püünsi
Seattle	Seattle
St. Petersburg	St. Peterburg
Toila	Toila
Würzburg	Würzburg
Arles	Arles
Avinurme	Avinurme
Dordrecht	Dordrecht
Geneva	Genf
Copenhagen	Kopenhagen
Laiuse	Laiuse [Jõgevamaa]
Lohusalu	Lohusalu
Magdeburg	Magdeburg
Moskva	Moscou
Oldenburg	Oldenburg
Piaseczno	Piaseczno
Pilistvere	Pilistvere
Pürksi	Pürksi
Ruhnu	Ruhnu
Slovakia	Slovakia
Tarto-linan	Tarto-linan
Tartu	Tartu-Dorpat
Torino	Torino
Vaida	Vaida
Warszawa	Warsaw
Turku	Abo
Aruküla	Aruküla
Aruvalla küla	Aruvalla
Bucuresti	Bucureşti
Eskilstuna	Eskilstuna
Frankfurt am Main	Frankfurt
Kassel	Kassel
