standardizing_name	groups	N	useful_link
a.jung	a.jung	2	T
j.jung	a.jung	2	T
a.tõllassepp	a.tõllasep	4	T
a.tõllasepp	a.tõllasep	4	T
a.tõllasepa	a.tõllasep	4	T
a.tõllasep	a.tõllasep	4	T
uus aeg	aeg	2	T
aeg	aeg	2	T
ühing cns 53	association cns 53	2	T
association cns 53	association cns 53	2	T
c.r.jakobsoni nim.viljandi 1.keskkool	c.r.jakobsoni nim.gümnaasium	3	T
c.r.jakobsoni nim.gümnaasium	c.r.jakobsoni nim.gümnaasium	3	T
carl robert jakobsoni nim.gümnaasium	c.r.jakobsoni nim.gümnaasium	3	T
digiraamatute keskus	digiraamatute keskus	2	T
digiraamatute keskus (levitaja	digiraamatute keskus	2	T
f.feldt	druck von f.feldt	2	T
druck von f.feldt	druck von f.feldt	2	T
e.eha	e.eha	2	T
elle eha	e.eha	2	T
e.j.karov`s	e.j.karov	2	T
e.j.karov	e.j.karov	2	T
e.kukk	e.kukk	2	T
t.kukk	e.kukk	2	T
e.o.kuiv	e.o.kuiv	2	T
k.kuiv	e.o.kuiv	2	T
fr.roosman	e.roosalu	2	F
e.roosalu	e.roosalu	2	NA
e.tööerakonna viljandi büroo	e.tööerakonna viljandi büroo	2	T
tööerakonna viljandi büroo	e.tööerakonna viljandi büroo	2	T
ekp viljandi rajoonikomitee	ekp viljandi rajoonikomitee	2	T
elknü viljandi rajoonikomitee	ekp viljandi rajoonikomitee	2	T
pauluse kogudus	evangeelse luterliku kiriku viljandi pauluse kogud	2	T
evangeelse luterliku kiriku viljandi pauluse kogud	evangeelse luterliku kiriku viljandi pauluse kogud	2	T
ü.kiiler	g.kiiler	2	T
g.kiiler	g.kiiler	2	T
g.schürmann	g.schürmann	2	T
schürmann	g.schürmann	2	T
h.leoke	h.leoke	2	T
m.leoke	h.leoke	2	T
helios izdevniecība	helios	3	T
helios	helios	3	T
izdevniecība helios	helios	3	T
helios leidykla	helios leidykla	2	T
leidykla helios	helios leidykla	2	T
j.liiva	j.liiva	2	T
m.liiva	j.liiva	2	T
t.lindma	j.lind	2	F
j.lind	j.lind	2	NA
j.linnu raamatukauplus	j.linnu raamatukauplus	2	F
j.m.jaanuse raamatukauplus	j.linnu raamatukauplus	2	NA
joh.nurmberg	j.nurmberg	2	T
j.nurmberg	j.nurmberg	2	T
j.reevits	j.reevits	2	T
j.reevitsa	j.reevits	2	T
sander	j.sander	2	T
j.sander	j.sander	2	T
j.sarapuu	j.sarapuu	2	T
jaak sarapuu	j.sarapuu	2	T
kaitseliidu sakala malev	kaitseliidu sakala malev	2	T
kaitseliidu sakalamaa malev	kaitseliidu sakala malev	2	T
ktk overall	ktk	2	T
ktk	ktk	2	T
kultuuriministeerium	kultuuriministeerium	2	T
nsv kultuuriministeerium	kultuuriministeerium	2	T
meie kodumaa raamatukauplus	meie kodumaa	3	T
pealadu meie kodumaa raamatukauplus	meie kodumaa	3	T
meie kodumaa	meie kodumaa	3	T
otto vilhelm	otto vilhelm	2	T
otto vilhelm eritoitumine	otto vilhelm	2	T
print best	print best	3	T
print best printin company	print best	3	T
printon	print best	3	F
pärimusmuusika keskus pärimusmuusika teabekogu	pärimusmuusika keskus	2	T
pärimusmuusika keskus	pärimusmuusika keskus	2	T
põlva rajooni töörahva saadikute nõukogu täitevkom	põlva rajooni töörahva saadikute nõukogu täitevkom	3	F
viljandi rajooni töörahva saadikute nõukogu	põlva rajooni töörahva saadikute nõukogu täitevkom	3	T
viljandi rajooni töörahva saadikute nõukogu täitev	põlva rajooni töörahva saadikute nõukogu täitevkom	3	T
s.rätsep	r.rätsep	2	T
r.rätsep	r.rätsep	2	T
rahva raamatu	raamat	4	T
raamat	raamat	4	F
rahva raamat	raamat	4	T
rahva raamat levitaja	raamat	4	T
sakala pank	sakala	3	T
sakala malev	sakala	3	T
sakala	sakala	3	T
sakala partisanide ühing	sakala partisanid	2	T
sakala partisanid	sakala partisanid	2	T
sakalamaa kutseaednikkude ühing	sakalamaa kutseaednikkude ühing	2	T
sakalamaa vabadussõjalaste ühing	sakalamaa kutseaednikkude ühing	2	T
viljandi kultuuriakadeemia	tartu ülikool	6	T
tartu ülikooli viljandi kultuuriakadeemia üliõpila	tartu ülikool	6	T
tü viljandi kultuuriakadeemia	tartu ülikool	6	T
tartu ülikooli viljandi kultuuriakadeemia	tartu ülikool	6	T
tartu ülikool	tartu ülikool	6	T
