rara_id	birth_date	death_date
a12818550	NA	2018
a1281877x	NA	2004
a12540353	NA	2025
a12818574	1950	NA
a12823922	2000	NA
a12543871	1941	NA
a12197051	1965	NA
a12197075	2000	NA
a12821913	1950	NA
a12540304	1900	NA
a12192612	1957	NA
a12817661	1950	NA
a12543810	1950	NA
a12191528	1960	NA
a12199278	NA	2009
a12191310	2000	NA
a12820842	1950	NA
a12818781	2000	NA
a12819633	2000	NA
a12817697	2000	NA
a12419928	1952	NA
a11538211	NA	1931
a12388610	1950	NA
a12388853	1900	NA
a12214838	1950	NA
a12806134	1900	NA
a11558490	1958	NA
a11558258	NA	2019
a12217906	NA	2018
a12388622	2000	NA
a12419515	1961	NA
a12803996	1940	NA
a12396485	1950	NA
a11539732	1957	NA
a12418407	1966	NA
a12394294	1900	NA
a11538892	1941	NA
a1241752x	1987	NA
a12392984	1950	NA
a11547169	1700	NA
a11549105	NA	1983
a12223529	1971	NA
a12414037	2000	NA
a12391645	1938	NA
a1221839x	1955	NA
a12413331	1950	NA
a12801525	1950	NA
a12390343	1967	NA
a11933665	1966	NA
a12346652	NA	2024
a12054604	1950	NA
a12432751	1885	NA
a12624202	1755	NA
a12445423	1962	NA
a12374039	1977	NA
a12061141	NA	2025
a12350588	2000	NA
a12051342	NA	2023
a12365580	NA	2024
a1262357x	1950	NA
a12343390	1950	NA
a12441430	1900	NA
a12438029	NA	2024
a12062005	NA	1710
a12364903	1950	NA
a12442537	1900	NA
a12622047	1988	NA
a12368015	NA	2024
a12627732	1900	NA
a1237250x	1964	NA
a12441016	1950	NA
a12436902	2000	NA
a12371439	1945	NA
a12374945	1900	NA
a12373850	1955	NA
a12345118	NA	2002
a12433408	1965	NA
a1236955x	1950	NA
a11927392	1950	NA
a12369585	1950	NA
a12431679	1956	NA
a11930585	NA	2009
a12632302	2000	NA
a12434942	1950	NA
a12372742	NA	2023
a12077744	1950	NA
a12082090	NA	2023
a1268403x	1963	NA
a12074214	1900	NA
a12685148	2018	NA
a12677528	1950	NA
a12687315	1240	1302
a12677516	1900	NA
a12677310	NA	2025
a1267994x	1950	NA
a12083379	1950	NA
a12687339	1972	NA
a12755527	1993	NA
a1268532x	1950	NA
a11829424	1901	NA
a11465724	-496	-405
a11958546	1993	NA
a12763159	NA	2023
a12729553	1845	NA
a12169882	1950	NA
a12730786	2000	NA
a11470045	NA	2024
a11477726	NA	1960
a11826174	NA	2023
a12177039	1950	NA
a12727593	1800	NA
a12721839	1690	1730
a12730567	1950	NA
a12171943	1900	NA
a11462000	1500	NA
a1183707x	NA	2024
a12172613	1950	NA
a12724658	1984	NA
a11463594	1945	NA
a12099338	1950	NA
a12104541	NA	2023
a12107839	NA	2022
a1272077x	1950	NA
a12468137	1660	NA
a11581888	1690	NA
a1247244x	1950	NA
a11582972	1480	NA
a11163203	NA	2023
a12468745	1971	NA
a11162119	NA	2016
a11985744	1950	NA
a11579584	NA	1039
a11591468	1500	NA
a11985987	NA	2020
a1159035x	20	65
a12472657	1950	NA
a12466359	1900	NA
a11445257	1700	NA
a12475075	1978	NA
a1246837x	1933	NA
a11588056	NA	2022
a12476146	1900	NA
a11589383	1540	NA
a11579390	1931	NA
a12649922	1900	NA
a12769691	1950	NA
a11447242	1685	NA
a11591250	1506	NA
a11979033	1950	NA
a11447291	1600	NA
a11449202	1700	NA
a12721360	1960	NA
a12466347	1983	NA
a11989099	NA	2023
a12470879	1989	NA
a12743239	1900	NA
a11590154	1495	1558
a11448180	1600	NA
a12006403	1950	NA
a1198594x	1950	NA
a12467467	2000	NA
a12469403	1900	NA
a11158438	NA	2022
a12468551	NA	2024
a12471951	2000	NA
a11447084	1700	NA
a12467212	1806	NA
a11440247	1270	NA
a12473510	1900	NA
a11449263	1700	NA
a11989233	1915	NA
a11588093	1546	NA
a1144924x	400	NA
a11980898	NA	2025
a12772641	1967	NA
a11445968	1800	NA
a11506131	1945	NA
a11519447	1950	NA
a12605670	NA	1938
a11428454	1950	NA
a11429306	1927	2019
a12290750	1900	NA
a12647251	100	NA
a12150198	1950	NA
a12565593	1620	NA
a12605682	1981	NA
a11850486	1927	2022
a11506313	1500	NA
a12287568	2000	NA
a11257040	1549	NA
a12563663	1973	NA
a12606789	1962	NA
a12648334	NA	2017
a1256560x	1602	NA
a12095266	1950	NA
a11135694	NA	2025
a12647470	1991	NA
a11828869	NA	2016
a12559180	1950	NA
a11516343	NA	2013
a12815548	1550	1616
a12810083	2000	NA
a12129409	NA	2023
a11191144	1911	1987
a12584915	NA	1946
a11194418	NA	1968
a12127000	1950	NA
a12289553	1900	NA
a11138543	NA	2010
a11189095	NA	2025
a12578472	1959	NA
a12557699	1950	NA
a12809706	1950	NA
a12557468	2000	NA
a12664637	1950	NA
a12475567	1470	1550
a11867358	1875	NA
a12468678	1950	NA
a11453849	1800	NA
a11458069	1800	NA
a12476675	1950	NA
a12470521	2000	NA
a11459396	1	100
a11461470	1400	NA
a11461226	1700	NA
a11378165	250	251
a12469075	1957	NA
a11451683	1667	NA
a12469038	1021	1077
a12655004	NA	2025
a12475300	1950	NA
a11452766	1680	1738
a12656549	1900	NA
a12467042	1960	NA
a11879932	NA	2021
a12655879	1910	1976
a12500720	1950	NA
a12497381	1988	NA
a12499729	1060	NA
a12498415	2000	NA
a1249754x	1950	NA
a12490027	1982	NA
a12492681	1950	NA
a1249267x	1900	NA
a12490271	1900	NA
a12497903	1900	NA
a12496819	1954	NA
a12491378	2000	NA
a12494884	1946	NA
a12492462	1900	NA
a12260988	1909	1974
a11222979	1500	NA
a12026530	NA	2021
a12751479	1964	NA
a12496418	NA	2024
a12267144	NA	2024
a1274492x	1950	NA
a1226409x	1957	NA
a11983061	2000	NA
a12270726	1972	NA
a12500768	1848	1920
a12146365	1950	NA
a12749394	1980	NA
a12494483	1950	NA
a12150629	1950	NA
a12270738	1971	NA
a12266474	2000	NA
a12489906	1900	NA
a12150204	1950	NA
a12265159	1631	NA
a1198272x	1950	NA
a12266486	2000	NA
a12752368	NA	2025
a1249799x	1916	1997
a12267351	1973	NA
a12259950	1942	NA
a12489918	1959	NA
a12270751	1945	NA
a12293696	1900	NA
a12322313	1950	NA
a11343461	1400	NA
a12328686	1950	NA
a1191421x	1949	NA
a11354574	-55	NA
a11900064	NA	2021
a12325181	1950	NA
a12292382	1950	NA
a11300565	393	466
a11343448	1290	NA
a12242287	1966	NA
a12557948	1950	NA
a1191208x	NA	1973
a11354100	-200	NA
a12246165	1972	NA
a12320717	NA	2023
a12563171	1900	NA
a11342468	1100	NA
a12557961	1950	NA
a11898288	NA	1674
a12284968	1960	NA
a12294160	NA	2023
a12556919	1950	NA
a12280963	1900	NA
