id	gender
a12430705	NA
a11538272	NA
a12151385	NA
a11540151	NA
a11830852	female
a11138270	male
a12065444	NA
a11360124	male
a12478532	male
a11819595	NA
a1204345x	NA
a11993121	NA
a11351962	NA
a1215605x	NA
a12038088	NA
a11873668	female
a12072722	NA
a11423201	NA
a12423956	male
a12407343	male
a1113446x	male
a12478775	female
a11365857	male
a12268926	male
a12049396	male
a11164724	male
a12266723	male
a12046851	NA
a11876918	male
a11515612	NA
a12152365	female
a12067386	NA
a12000498	male
a12000474	NA
a11999287	female
a11423225	NA
a12429788	male
a11136091	male
a12269049	female
a12049372	male
a12259779	male
a11365833	NA
a1206791x	NA
a1264951x	female
a12152341	female
a11418588	NA
a12038945	NA
a1150688x	NA
a11376478	NA
a11164062	male
a12429764	female
a12406363	male
a11141013	female
a1206337x	NA
a12071213	male
a12065468	NA
a11998878	NA
a11538296	NA
a11513809	male
a11368135	NA
a12403866	female
a11414182	male
a12145439	male
a12068123	NA
a11158645	male
a12427561	male
a11546918	NA
a1154384x	male
a1113544x	male
a12044891	NA
a11516616	male
a1136452x	NA
a12154180	NA
a1199678x	NA
a1240603x	female
a12265767	male
a12260162	female
a11424886	female
a11164086	female
a11141037	male
a1206693x	NA
a1154482x	NA
a12408323	NA
a11514656	NA
a11376211	NA
a1248054x	female
a11839077	NA
a12261038	female
a11994149	male
a11918317	male
a1186333x	NA
a12150381	NA
a1187157x	NA
a1114080x	female
a11836337	NA
a11422245	female
a11158621	male
a12479779	NA
a11539276	NA
a11370117	NA
a12424055	male
a12146109	NA
a12070233	NA
a11877017	male
a11823409	male
a11512805	NA
a11864643	NA
a1141375x	female
a11992165	NA
a11137952	male
a12156140	NA
a11155462	NA
a12478799	NA
a12488380	male
a12477795	male
a11509843	NA
a12038969	female
a11992189	NA
a11837755	male
a11539252	NA
a11415186	female
a11367350	NA
a12043783	NA
a11874843	male
a12425059	female
a12267922	female
a12069127	NA
a11835552	male
a11516859	female
a12480873	male
a12152389	male
a11516835	NA
a11343746	male
a12259469	male
a12067362	NA
a11874867	male
a11358579	NA
a12399905	female
a12269001	male
a11156466	male
a12479755	male
a11870928	female
a11553649	NA
a11413840	male
a11834377	male
a12040915	NA
a11540370	NA
a11821863	male
a11157641	male
a11138294	male
a12064464	NA
a11362893	NA
a11424643	male
a12038064	NA
a12397817	female
a11511606	NA
a12149482	NA
a12046899	male
a11160214	NA
a1134748x	NA
a12070257	male
a11358531	NA
a12261014	female
a11544910	NA
a11415162	male
a12426015	male
a1242867x	male
a1204247x	NA
a11994101	female
a11368330	NA
a11517815	male
a11162788	female
a12263217	male
a11510602	male
a1226541x	male
a11544934	male
a11135797	male
a11417365	NA
a11135992	male
a12038921	male
a12069103	female
a11370774	NA
a11998830	male
a12264787	male
a11994125	male
a11160238	NA
a11876037	male
a12422514	female
a11917726	female
a11135773	male
a12426039	male
a1183402x	NA
a11414868	NA
a12266747	female
a11553601	male
a11831170	NA
a11544296	NA
a11361128	male
a12063484	NA
a11419568	female
a11140914	male
a12429983	male
a12269025	male
a12436689	male
a12402886	female
a12403842	NA
a12265743	male
a11872664	male
a1141473x	NA
a12479731	male
a11544958	male
a11368159	male
a11161784	NA
a12480897	female
a12154842	male
a12421510	male
a11139274	male
a12000450	NA
a12398135	female
a11415824	male
