rara_id	viaf_id	wkp_id
a12636071	5171261958325281891	NA
a1268238x	415158790636138851145	Q130420021
a12659605	93227499	Q5694956
a12415133	317097359	Q114663210
a11580057	34603842	Q15065267
a11584762	7551149544618000490007	NA
a11129700	7392250	Q6512
a12658844	874145857115322921566	NA
a12232890	12163456081804810734	NA
a11124258	62670602	Q264382
a12088766	169139787	Q112543747
a1223543x	35870604	Q5489947
a12412442	12564158	Q107457457
a12676524	20172122646403162265	NA
a12635406	4148449530915690734	NA
a12091716	13152259511716981249	NA
a11132814	33149542619600300945	NA
a12234540	227811043	Q112540364
a12676548	87346668	Q114736783
a12681829	76172122231903160801	NA
a12678284	15170091919298150074	NA
a12413227	33781698	NA
a1209349x	100276367	Q1557301
a11541386	108299691	Q187363
a11938031	167147310007737850977	NA
a11131810	81514781	Q12361937
a12637270	70432384	Q113802218
a12089527	110927957	Q4757681
a12658649	286303674	Q27827700
a12680606	284819221	NA
a12171906	25386255	Q12348481
a12411462	90838138	Q27837184
a12172790	256980690	Q105038
a11932107	166512676	Q4060929
a12683450	26663949	Q930691
a12636952	2594737	Q48558251
a12336890	21147663068860552496	Q95929015
a12330711	114148996030459752636	Q127328476
a11128082	166588976	NA
a12087348	95206732	Q1755667
a12314092	20164959970524022757	NA
a11581918	120095630	Q21415923
a12676500	107192588	Q236135
a12658625	285604802	Q113192932
a11580914	5339149544601400490005	Q16406705
a11933872	17152379990901760776	NA
a11541167	2340149544577800490001	Q24546298
a12307518	8534164963975724300001	Q10270606
a11129748	2149542579800300461	NA
a12338655	61831698	NA
a12087324	220726370	Q24545597
a11935649	39371896	Q354783
a12686190	107744010	Q130796809
a11589942	34149542977000302925	Q123680455
a12245902	55990211	Q95328437
a12416113	41856524	Q15432436
a12314973	337147724867164591441	NA
a11543280	97113511	Q39829
a11545902	108433707	Q1849519
a1176949x	228343316	Q2463885
a12411267	23903902	NA
a12330735	29165569777637430979	NA
a12179140	43873441	NA
a12085340	114455715	Q106066012
a12316933	294826921	Q6088489
a12235763	162550090	Q26213181
a11127983	2371149544578200490007	NA
a12316957	7165570506637432872	NA
a12637956	97935898	Q128532
a12409388	317041737	NA
a12175687	14161512155070562303	NA
a12179188	17161512168470562906	NA
a12416137	106978723	Q122313888
a12337109	65400636	Q19281782
a12315072	100145542632196641953	NA
a11545264	24750403	Q4245074
a12632739	3171261786125281365	NA
a12411486	NA	NA
a11241482	7149542895400302465	NA
a11938274	7916153411808441700005	Q28358865
a11934207	108739135	Q56750583
a12337699	11582382	Q112404237
a12683474	112350471	Q2173832
a12330759	47191011	Q95217934
a12314754	279213954	Q112463436
a12090517	79407361	Q47778
a11931346	48152379991401761011	Q61701757
a12411243	5167927588329081219	NA
a12178846	85393879	Q95341223
a11578488	34580474	Q1810643
a11545926	72195590	Q943991
a12638298	2171262187725282621	NA
a12086368	56158124869714930477	NA
a12677504	41853156	NA
a12088547	61158125129414932886	NA
a12677528	170583118	NA
a12657888	171021212	Q21228781
a12335691	284996942	NA
a11590002	158149542759200301217	NA
a12413422	22165705638948930697	NA
a1158080x	7200149544615300490009	NA
a12175663	91118698	Q11287178
a11543061	64083232	Q3116666
a11124210	19794432	Q438409
a12639278	1171262256025282916	NA
a12225113	33089798	Q518084
a12088523	25158125103314932227	NA
a12681490	25172122140703160448	NA
a12337894	14959675	Q77298
a12314778	75737941	Q120616201
a12409121	297328379	Q86209018
a12315096	90717750	Q71823
a12657645	80323132	Q708548
a11590026	53149542816300301877	NA
a12233870	306068727	NA
a11543085	85757639	Q275285
a12657621	2158185744220062126	NA
a11128963	76808667	Q405865
a12633446	42267922	Q3938899
a12086344	18158125123014932810	NA
a11938298	14153409750041582342	NA
a1217631x	61814820	Q2036199
a11931322	73475633	NA
a11578464	220901146	Q112554156
a12686876	2030786	Q1261231
a12086320	105253922	Q504337
a11546220	19741527	Q24201029
a12683693	19878412	Q47159
a11548770	3971149544590600490005	NA
a12659848	16126580	Q11858334
a12639254	4171262074525282252	NA
a12412247	84402609	Q4086259
a12683498	14965532	Q1606590
a12338850	67267062	Q4134890
a11131834	9849550	Q34628
a12224819	60575941	Q7353585
a1217905x	5668161514251870750001	Q50410424
a12659824	19171792026312171408	NA
a11553418	56696461	Q97119134
a12686852	79180457	Q1072865
a12637932	63202168	Q4756248
a12409169	8873156565708723500001	NA
a12338874	20049984	Q7154439
a12313774	100219751	Q3144786
a11936095	22152380093301762278	NA
a1233974x	34490145	Q2976905
a11130854	309655708	Q20528527
a12234898	50850209	NA
a1231366x	19164959927924022271	Q116940247
a11546244	36988266	Q316202
a12678727	51696458	Q1417221
