id	gender
a12430705	NA
a11538272	NA
a12151385	NA
a11540151	NA
a11830852	naine
a11138270	mees
a12065444	NA
a11360124	mees
a12478532	mees
a11819595	NA
a1204345x	NA
a11993121	NA
a11351962	NA
a1215605x	NA
a12038088	NA
a11873668	naine
a12072722	NA
a11423201	NA
a12423956	mees
a12407343	mees
a1113446x	mees
a12478775	naine
a11365857	mees
a12268926	mees
a12049396	mees
a11164724	mees
a12266723	mees
a12046851	NA
a11876918	mees
a11515612	NA
a12152365	naine
a12067386	NA
a12000498	mees
a12000474	NA
a11999287	naine
a11423225	NA
a12429788	mees
a11136091	mees
a12269049	naine
a12049372	mees
a12259779	mees
a11365833	NA
a1206791x	NA
a1264951x	naine
a12152341	naine
a11418588	NA
a12038945	NA
a1150688x	NA
a11376478	NA
a11164062	mees
a12429764	naine
a12406363	mees
a11141013	naine
a1206337x	NA
a12071213	mees
a12065468	NA
a11998878	NA
a11538296	NA
a11513809	mees
a11368135	NA
a12403866	naine
a11414182	mees
a12145439	mees
a12068123	NA
a11158645	mees
a12427561	mees
a11546918	NA
a1154384x	mees
a1113544x	mees
a12044891	NA
a11516616	mees
a1136452x	NA
a12154180	NA
a1199678x	NA
a1240603x	naine
a12265767	mees
a12260162	naine
a11424886	naine
a11164086	naine
a11141037	mees
a1206693x	NA
a1154482x	NA
a12408323	NA
a11514656	NA
a11376211	NA
a1248054x	naine
a11839077	NA
a12261038	naine
a11994149	mees
a11918317	mees
a1186333x	NA
a12150381	NA
a1187157x	NA
a1114080x	naine
a11836337	NA
a11422245	naine
a11158621	mees
a12479779	NA
a11539276	NA
a11370117	NA
a12424055	mees
a12146109	NA
a12070233	NA
a11877017	mees
a11823409	mees
a11512805	NA
a11864643	NA
a1141375x	naine
a11992165	NA
a11137952	mees
a12156140	NA
a11155462	NA
a12478799	NA
a12488380	mees
a12477795	mees
a11509843	NA
a12038969	naine
a11992189	NA
a11837755	mees
a11539252	NA
a11415186	naine
a11367350	NA
a12043783	NA
a11874843	mees
a12425059	naine
a12267922	naine
a12069127	NA
a11835552	mees
a11516859	naine
a12480873	mees
a12152389	mees
a11516835	NA
a11343746	mees
a12259469	mees
a12067362	NA
a11874867	mees
a11358579	NA
a12399905	naine
a12269001	mees
a11156466	mees
a12479755	mees
a11870928	naine
a11553649	NA
a11413840	mees
a11834377	mees
a12040915	NA
a11540370	NA
a11821863	mees
a11157641	mees
a11138294	mees
a12064464	NA
a11362893	NA
a11424643	mees
a12038064	NA
a12397817	naine
a11511606	NA
a12149482	NA
a12046899	mees
a11160214	NA
a1134748x	NA
a12070257	mees
a11358531	NA
a12261014	naine
a11544910	NA
a11415162	mees
a12426015	mees
a1242867x	mees
a1204247x	NA
a11994101	naine
a11368330	NA
a11517815	mees
a11162788	naine
a12263217	mees
a11510602	mees
a1226541x	mees
a11544934	mees
a11135797	mees
a11417365	NA
a11135992	mees
a12038921	mees
a12069103	naine
a11370774	NA
a11998830	mees
a12264787	mees
a11994125	mees
a11160238	NA
a11876037	mees
a12422514	naine
a11917726	naine
a11135773	mees
a12426039	mees
a1183402x	NA
a11414868	NA
a12266747	naine
a11553601	mees
a11831170	NA
a11544296	NA
a11361128	mees
a12063484	NA
a11419568	naine
a11140914	mees
a12429983	mees
a12269025	mees
a12436689	mees
