find_this	replace_with	type
Jurjev	Tartu	regex_replace
Jurjew	Tartu	regex_replace
Juriew	Tartu	regex_replace
Jurjeff	Tartu	regex_replace
Tartun	Tartu	regex_replace
Perno	Pärnu	exact
Tapal	Tapa	exact
Терва	Tõrva	exact
Marienburg	Aluksne	exact
Ria	Riga	exact
Rigæ	Riga	exact
^Rig.$	Riga	exact
Riga\b	Riga	regex_replace
Юрьев	Tartu	regex_replace
Tõrwa	Tõrva	regex_replace
Võro	Võru	regex_replace
Wõru	Võru	regex_replace
C.-Петербург	St. Petersburg	regex_replace
Петербург	St. Petersburg	regex_replace
Leningrad	St. Petersburg	regex_replace
St. Peeterburg	St. Petersburg	regex_replace
St. Peterburi	St. Petersburg	regex_replace
St. Pétersbourg	St. Petersburg	regex_replace
St.-Petersburg	St. Petersburg	regex_replace
St.Petersburg	St. Petersburg	regex_replace
Haag	The Hague	exact
Hamburi	Hamburg	exact
Hamburis	Hamburg	exact
Helsingki	Helsingi	exact
Helsingissä	Helsingi	exact
Miitavi	Mitau	exact
Geislingen	Geislingen	regex_replace
Венден	Cēsis	regex_replace
Гольдинген	Kuldīga	regex_replace
Двинск	Daugavpils	regex_replace
Valga\b	Valga	regex_replace
Kuresaare	Kuressaare	regex_replace
Kurresare	Kuressaare	regex_replace
Абя	Abja	exact
Академия наук Эстонии	Tallinn	exact
Б.м		exact
Валк	Valga	exact
Вейсенштейн	Paide	exact
Велико-Търново	Veliko Tarnovo	exact
Вольмар	Valmiera	exact
Вятка	Kirov	exact
Гапсaль	Haapsalu	exact
Днiпропетровськ	Dnipro	exact
Дубровицы 	Dubrovitsy	regex_replace
Душаньбе	Dushanbe	exact
ЕС	European Union	exact
Кайнар	Kaynar	exact
Кассари	Kassari	exact
Кегель	Keila	exact
Келломяки	Komarovo	exact
Корнталь	Korntal-Münchingen	exact
Куйбышев	Kuibõšev	exact
Куркунд-Немме	Kilingi-Nõmme	exact
Кюндя	Kunda	exact
Лужицы	Lusatia	exact
Мiнск	Minsk	exact
Малаховка	Malakhovka	exact
Нижный Архыз	Nizhnii Arkhyz	exact
Новый Петергоф	Petergof	exact
Порт-Артур	Lüshun Port	exact
Ростов-На-Дону	Rostov-on-Don	exact
Сергиев Посад [Россия]	Sergiyev Posad	exact
Скарятино	Skoryatino	exact
Тифлис	Thbilisi	exact
Тыравере	Tõravere	exact
Украина	Ukraine	exact
Улаан-баатар	Ulaanbaatar	exact
Улан-баатар	Ulaanbaatar	exact
Улаанбаатар	Ulaanbaatar	exact
Фрунзе	Frunze	exact
Харку	Harku	exact
Черноголовка	Chernogolovka	regex_replace
Эзель	Saaremaa	exact
Немме	Nõmme	exact
Килинги-Немме	Kilingi-Nõmme	exact
Кургунд-Немме	Kilingi-Nõmme	exact
Revaliae	Tallinn	exact
Revalia	Tallinn	exact
Reval\b	Tallinn	regex_replace
Revall\b	Tallinn	regex_replace
[Zz]u Reval	Tallinn	regex_replace
Украина	Ukraine	exact
Кингисепп	Kuressaare	exact
Кингиссепп	Kuressaare	exact
