find_this	replace_with	type	order
\\[etc\\.\\]		regex_partial	1
 etc\\.		regex_partial	1
 etc		regex_partial	1
^In 		regex_partial	1
\\?$		regex_partial	1
Б\\.м\\.		regex_replace	1
Б\\.м$		regex_replace	1
[Ss]\\. ?[Ll][\\.$]?		regex_replace	1
[0-9]		regex_replace	1
Hiinas	Hiina	exact	2
Euroopa Liidus	Euroopa Liit	exact	2
Tartus	Tartu	exact	2
Aegviidus	Aegviidu	exact	2
Tallinnas	Tallinn	exact	2
Rakweres	Rakwere	exact	2
Peterburis	Peterburg	exact	2
Los Angeles	Los Angeles	exact	2
Jurjevis	Jurjev	exact	2
Viljandis	Viljandi	exact	2
Jurjewis	Jurjew	exact	2
Imaveres	Imavere	exact	2
Wiljandis	Wiljandi	exact	2
Tõrvas	Tõrva	exact	2
Põlvas	Põlva	exact	2
Walgas	Walga	exact	2
Lehtses	Lehtse	exact	2
Kurepalus	Kurepalu	exact	2
Eestis	Eesti	exact	2
Jurjewis - Tartus	Tartu	exact	2
Kuressaares	Kuressaare	exact	2
Kanepis	Kanepi	exact	2
Võrus	Võru	exact	2
Malaisias	Malaisia	exact	2
Valgas	Valga	exact	2
Pariis	Paris	exact	2
Paris	Paris	exact	2
Riga Linnas	Riga	exact	2
Kallaveres	Kallavere	exact	2
Wõrus	Wõru	exact	2
Moskwas	Moskwa	exact	2
Pilistveres	Pilistvere	exact	2
Kurresares	Kurresare	exact	2
Pärnus	Pärnu	exact	2
Kundas	Kunda	exact	2
Narvas	Narva	exact	2
Kehras	Kehra	exact	2
Rijas	Rija	exact	2
Rakveres	Rakvere	exact	2
United States	United States	exact	2
Audrus	Audru	exact	2
Borås	Borås	exact	2
Tarto-linnas	Tarto	exact	2
Vilnius	Vilnius	exact	2
Kuresaares	Kuresaare	exact	2
Singapuris	Singapur	exact	2
Narwas	Narwa	exact	2
Haanjas	Haanja	exact	2
Minneapolis	Minneapolis	exact	2
Haapsalus	Haapsalu	exact	2
St. Peeterburis	St. Peterburg	exact	2
Lätis	Läti	exact	2
Brussels	Brussels	exact	2
Keilas	Keila	exact	2
Omskis	Omsk	exact	2
Stokholmis	Stockholm	exact	2
Perno-linnas	Perno	exact	2
Riias	Riia	exact	2
Ruhnus	Ruhnu	exact	2
Soomes	Soome	exact	2
Poolas	Poola	exact	2
Torontos	Toronto	exact	2
Hamburis	Hamburg	exact	2
Slovakkias	Slovakkia	exact	2
Pernus	Pernu	exact	2
Vilnius	Vilnius	exact	2
Leedus	Leedu	exact	2
Jurjewis-Tartus	Jurjewis-Tartu	exact	2
St. Catharines	St. Catharines	exact	2
Tallinna linnas	Tallinn	exact	2
Permis	Perm	exact	2
Itaalias	Itaalia	exact	2
Nõos	Nõo	exact	2
Sakus	Saku	exact	2
Kapus	Kapu	exact	2
Aarhus	Aarhus	exact	2
St. Peterburis	St. Peterburg	exact	2
Sõmerpalus	Sõmerpalu	exact	2
Rõuges	Rõuge	exact	2
Tartos	Tarto	exact	2
EL-s	EL-	exact	2
Leningradis	Leningrad	exact	2
Paides	Paide	exact	2
Holdres	Holdre	exact	2
Petrogradis	Petrograd	exact	2
Indias	India	exact	2
Taeblas	Taebla	exact	2
Abjas	Abja	exact	2
Hispaanias	Hispaania	exact	2
Uppsalas	Uppsala	exact	2
Tarto linnas	Tarto	exact	2
Maarjas	Maarja	exact	2
Kolgakülas	Kolgaküla	exact	2
Massachusetts	Massachusetts	exact	2
Tartus	Tartu	exact	2
Kaunas	Kaunas	exact	2
Euroopa liidus	Euroopa liit	exact	2
Enges	Enges	exact	2
Euroopas	Euroopa	exact	2
Ameerika Ühendriikides	Ameerika Ühendriigid	exact	2
Ilmatsalus	Ilmatsalu	exact	2
Suures-Jaanis	Suures-Jaani	exact	2
Boras	Boras	exact	2
Leisis	Leisi	exact	2
Aegwiidus	Aegwiidu	exact	2
Tarto Linnas	Tarto	exact	2
Petseris	Petseri	exact	2
Peterpurgis	St. Peterburg	exact	2
Tõrwas	Tõrwa	exact	2
Orléans	Orléans	exact	2
Moskvas	Moskva	exact	2
Buenos Aires	Buenos Aires	exact	2
Colorado Springs	Colorado Springs	exact	2
Ridalas	Ridala	exact	2
Caracas	Caracas	exact	2
Holstres	Holstre	exact	2
Rias	Riia	exact	2
Warblas	Warbla	exact	2
Pilistweres	Pilistwere	exact	2
Geislingenis	Geislingen	exact	2
Kolga-Jaanis	Kolga-Jaani	exact	2
Jõhvis	Jõhvi	exact	2
Kiievis	Kiievi	exact	2
Rumeenias	Rumeenia	exact	2
AÜEs	AÜE	exact	2
Meedlas	Meedla	exact	2
Muhus	Muhu	exact	2
Tahkurannas	Tahkuranna	exact	2
Kurresare linnas	Kuressaare	exact	2
Kose-Uuemõisas	Kose-Uuemõisa	exact	2
Dubais	Dubai	exact	2
Pihkwas	Pihkwa	exact	2
Berliinis	Berliini	exact	2
Don Mills	Don Mills	exact	2
Pariisis	Pariis	exact	2
Türgis	Türgi	exact	2
Raplas	Rapla	exact	2
