place_original	place_harmonized
Aachen	Aachen
Aadami (Kastre vald)	Aadami (Kastre vald)
Aadmal [Hiiumaa]	Aadmal [Hiiumaa]
Aakre	Aakre
Aalborg	Aalborg
Aarau	Aarau
Aaspere	Aaspere
Aaviku	Aaviku
Aaviku küla	Aaviku küla
Aberdeen	Aberdeen
Abingdon	Abingdon
Abington	Abington
Abja	Abja
Abjas	Abja
Абя	Abja
Abja-Paluoja	Abja-Paluoja
Abja-Paluoja (Viljandimaa)	Abja-Paluoja
Abja-Paluoja [Viljandimaa]	Abja-Paluoja
Mulgimaa, [Abja-Paluoja]	Abja-Paluoja
[Abja-Paluoja], Mulgimaa	Abja-Paluoja
Aboæ	Aboæ
Abruka	Abruka
Absecon?	Absecon
Adavere	Adavere
Adavere [Jõgevamaa]	Adavere
Adelaide	Adelaide
Adelaide?	Adelaide
Adra küla (Harku vald)	Adra küla (Harku vald)
Aegna	Aegna
Aegviidu	Aegviidu
Aegviidus	Aegviidu
Aegwiidus	Aegviidu
Aegviidu [Harjumaa]	Aegviidu
Aegviidus [Harjumaa]	Aegviidu
Aespa	Aespa
Agen	Agen
Ahrensburg	Ahrensburg
Ahtme	Ahtme
Aichach	Aichach
Aizpute	Aizpute
Al-Qāhirah	Al-Qāhirah
Alatskivi	Alatskivi
Alatskivi (Tartumaa)	Alatskivi
Alatskivi [Tartumaa]	Alatskivi
Alatskivil	Alatskivi
Alavere	Alavere
Albany	Albany
Alberta	Alberta
Albolote (Granada)	Albolote (Granada)
Albu	Albu
Albu [Järvamaa]	Albu
Albu küla	Albu
Aldershot [etc.]	Aldershot
Alexandria (Virginia)	Alexandria (Virginia)
Alexandria, Virginia	Alexandria (Virginia)
Algeria	Algeria
Allika	Allika
Allikjärve küla	Allikjärve küla
Alliku (Harjumaa	Alliku (Harjumaa)
Alliku (Harjumaa)	Alliku (Harjumaa)
Alliku küla	Alliku (Harjumaa)
Алма-Ата	Almaty
Алматы	Almaty
Alnarp	Alnarp
Alphen aan den Rijn	Alphen aan den Rijn
Altdorf	Altdorf
Alten Stettin	Alten Stettin
Altenburg	Altenburg
Altenstadt	Altenstadt
Altenstadt/Oberbayern	Altenstadt/Oberbayern
Altenstadt/Schongau	Altenstadt/Oberbayern
Altnurga [Jõgevamaa]	Altnurga [Jõgevamaa]
Altona	Altona
Altsaare	Altsaare
Alu	Alu (Raplamaa)
Alu (Raplamaa)	Alu (Raplamaa)
Alu [Raplamaa]	Alu (Raplamaa)
Aluksne	Aluksne
Marienburg	Aluksne
Alunda	Alunda
Alutaguse	Alutaguse
Amberg	Amberg
Ambla	Ambla
Ambla (Järvamaa)	Ambla
Ameerika Ühendriigid	Ameerika Ühendriigid
Ameerika Ühendriikides	Ameerika Ühendriigid
U.S.	Ameerika Ühendriigid
U.S.A.	Ameerika Ühendriigid
USA	Ameerika Ühendriigid
USA?	Ameerika Ühendriigid
In the United States of America	Ameerika Ühendriigid
United States	Ameerika Ühendriigid
United States?	Ameerika Ühendriigid
United States of America	Ameerika Ühendriigid
Ames (Iowa)	Ames (Iowa)
Amherst (Mass.)	Amherst (Mass.)
Amherst (Massachusetts)	Amherst (Mass.)
Amherst, Mass.	Amherst (Mass.)
Amritapuri, Kerala, India	Amritapuri, Kerala, India
Amsterdam	Amsterdam
Amsterdam [etc.]	Amsterdam
Amsterdam?	Amsterdam
Andover	Andover
Andover (Conn.)	Andover (Conn.)
Aneby	Aneby
Anija	Anija
Ankara	Ankara
Ann Arbor	Ann Arbor
Ann Arbor (Mich.)	Ann Arbor
Ann Arbor (USA)	Ann Arbor
Anna	Anna
Anna (Järvamaa)	Anna (Järvamaa)
Annandale-on-Hudson, N.Y.	Annandale-on-Hudson, N.Y.
Annikoru	Annikoru
Annikoru (Tartumaa)	Annikoru
Ansbach	Ansbach
Ansbach?	Ansbach
Anseküla	Anseküla
Anseküla [Saaremaa]	Anseküla
Antequera	Antequera
Antsla	Antsla
Antsla [Võrumaa]	Antsla
Antverpiae	Antwerpen
Antwerpen	Antwerpen
Anvers	Antwerpen
Ao küla (Lääne-Virumaa)	Ao küla (Lääne-Virumaa)
Apeldoorn	Apeldoorn
Araabia Ühendemiraadid	Araabia Ühendemiraadid
Aravete	Aravete
Aravetel	Aravete
Ardu	Ardu
Ardu [Harjumaa]	Ardu [Harjumaa]
Are	Are
Arendal	Arendal
Архангельск	Arkhangel’sk
Arkna	Arkna
Arkna küla (Lääne-Virumaa)	Arkna küla (Lääne-Virumaa)
Arles	Arles
Arlington	Arlington
Arlöv	Arlöv
Arnsberg	Arnsberg
Arnstadt	Arnstadt
Aruküla	Aruküla
Aruküla (Harjumaa)	Aruküla
Aruküla [Harjumaa]	Aruküla
Arula	Arula
Aruvalla	Aruvalla küla
