harm_name	standardizing_name	similarity_group
Emmaste (Hiiumaa)	emmaste põhikool	emmaste põhikool
Emmaste (Hiiumaa)	sõruotsa külaselts	sõruotsa külaselts
Turbuneeme	eru lahe rannarahva selts	eru lahe rannarahva selts
Turbuneeme	infotrükk	infotrükk
Новгород	michael petrov	michael petrov
Новгород	п.плавинский	п.плавинский
Daugavpils	daugavpils marka rotko makslas centrs	daugavpils marka rotko makslas centrs
Daugavpils	saule	saule
Kiideva	fraas	fraas
Kiideva	greif	greif
Eugene (Or.)	oregoni väikeettevõtete arendamise keskuste võrk	oregoni väikeettevõtete arendamise keskuste võrk
Eugene (Or.)	vild&woolley	vild&woolley
Обнинск	академия медицинских наук ссср	академия медицинских наук ссср
Обнинск	амн ссср	амн ссср
Urbana (Illinois)	kalev hannes leetaru	kalev hannes leetaru
Urbana (Illinois)	university of illinois	university of illinois
Kärstna	kärstna põhikool	kärstna põhikool
Kärstna	m.perve	m.perve
Umbusi (Jõgevamaa)	a.kaselo ...jt	a.kaselo ...jt
Umbusi (Jõgevamaa)	pradervilli sündroomi ühing	pradervilli sündroomi ühing
Tōkyō	gunjōsha	gunjōsha
Tōkyō	nisshin hōdō	nisshin hōdō
Kärkna	k.rebane	k.rebane
Kärkna	kärkna piimaühing	kärkna piimaühing
Kiduspe	alfapress	alfapress
Kiduspe	tiskre konsultatsioonid	tiskre konsultatsioonid
Пловдив	данов	данов
Пловдив	христо г.данов	христо г.данов
Esslingen	a.klavsona apgads	a.klavsona apgads
Esslingen	latviešu rakstnieku žurnālistu un grāmatrūpniecība	latviešu rakstnieku žurnālistu un grāmatrūpniecība
Kista	hansson bok	hansson bok
Kista	school of information and communication technology	school of information and communication technology
Ahtme	ahtme gümnaasium	ahtme gümnaasium
Ahtme	ahtme kool	ahtme kool
Kivi-Vigala	j.uibu	j.uibu
Kivi-Vigala	vigala volikogu	vigala volikogu
Kivi-Vigala [Raplamaa]	kivivigala põhikool	kivivigala põhikool
Kivi-Vigala [Raplamaa]	päikese käsi	päikese käsi
Annikoru (Tartumaa)	a.järve	a.järve
Annikoru (Tartumaa)	edrk	edrk
Ystad	vihalemm	vihalemm
Ystad	ystads fornminnesförening	ystads fornminnesförening
Döhren	harro v.hirschheydt	harro v.hirschheydt
Döhren	hirschheydt	hirschheydt
Turenki	hansaprint	hansaprint
Turenki	sks kirjat	sks kirjat
Delhi	international society of plant morphologists	international society of plant morphologists
Delhi	udbhavana publications	udbhavana publications
Anna (Järvamaa)	anna kultuuriselts	anna kultuuriselts
Anna (Järvamaa)	anna vaba aja maja	anna vaba aja maja
Willimantic (Conn.)	connecticuti selts	connecticuti selts
Willimantic (Conn.)	koolide keskus usas	koolide keskus usas
Ankara	bilgesu	bilgesu
Ankara	strateegiliste uuringute keskus	strateegiliste uuringute keskus
Falköping	skaudijuhtide kogu rootsis	skaudijuhtide kogu rootsis
Falköping	vanemgaidid rootsis	vanemgaidid rootsis
Шупашкар	чавашгосиздат	чавашгосиздат
Шупашкар	чиваш кенеке издательстви	чиваш кенеке издательстви
Zoetermeer	european netvork for women's studies	european netvork for women's studies
Zoetermeer	free musketeers	free musketeers
Kauniainen	btg	btg
Kauniainen	sturi	sturi
Abruka	abruka muuseumi selts	abruka muuseumi selts
Abruka	abruka valla tulekahju kordadel vastastiku abiandm	abruka valla tulekahju kordadel vastastiku abiandm
Adavere	adavere põhikool	adavere põhikool
Adavere	viimaks	viimaks
Assamalla	assamalla emadepäeva korraldav komitee	assamalla emadepäeva korraldav komitee
Assamalla	e.geidik	e.geidik
Zaragoza	nautilus ediciones	nautilus ediciones
Zaragoza	olifante	olifante
Uuemõisa [Läänemaa]	uuemõisa algkool	uuemõisa algkool
Uuemõisa [Läänemaa]	uuemõisa lasteaedalgkool	uuemõisa algkool
Kelvingi (Harjumaa)	essential nourishment	essential nourishment
Kelvingi (Harjumaa)	kelvingi külakeskus	kelvingi külakeskus
Düsseldorf	droste	droste
Düsseldorf	karl rauch	karl rauch
Kemi	atrain	atrain
Kemi	atrain&nord	atrain&nord
Kemiö	kemiönseudun kirjanjalostusyhdistys	kemiönseudun kirjanjalostusyhdistys
Kemiö	kimitonejdens bokavelsförening	kimitonejdens bokavelsförening
Edinburgh	elizabeth smith fine art reproductions	elizabeth smith fine art reproductions
Edinburgh	the british league for european freedom	the british league for european freedom
Aspach	edition innsalz	edition innsalz
Aspach	innsalz	edition innsalz
Uuemõisa	ridala vallavalitsus	ridala vallavalitsus
Uuemõisa	vormsi veri	vormsi veri
Darlinghurst	maja	maja
Darlinghurst	meeskoor austraalias	meeskoor austraalias
Aruvalla küla (Rae vald)	digiraamatute keskus	digiraamatute keskus
Aruvalla küla (Rae vald)	human	human
Малаховка	московский областной государственный институт физи	московский областной государственный институт физи
Малаховка	московский областной институт физкультуры	московский областной государственный институт физи
Firenze	centro di	centro di
Firenze	consolato onorario di estonia	consolato onorario di estonia
Arles	actes sud	actes sud
Arles	rouergue	rouergue
Kent Town	sisu	sisu
Kent Town	vakefield	vakefield
Kääpa	kalevipoja muuseum	kalevipoja muuseum
Kääpa	kääpa põhikool	kääpa põhikool
Kernu	kernu tulekahju juhtumistes vastastiku avitamise s	kernu tulekahju juhtumistes vastastiku avitamise s
Kernu	kirnakohatu kartuliühisus	kirnakohatu kartuliühisus
Kherson	international academy of noosphere	international academy of noosphere
Kherson	олдиплюс	олдиплюс
Uudeküla	mark pavlovski	mark pavlovski
Uudeküla	vali	vali
Aegna	auratrükk	auratrükk
Aegna	theravaada sangha klooster	theravaada sangha klooster
Kuigatsi	u.vohlrab	u.vohlrab
Kuigatsi	õ.paimre	õ.paimre
Klintehamn	krilon	krilon
Klintehamn	preposition	preposition
Eisenach	j.bachmeister	j.bachmeister
Eisenach	j.f.bärecke	j.f.bärecke
Kurgja-Linnutaja	c.r.jakobsoni talumuuseum	c.r.jakobsoni talumuuseum
Kurgja-Linnutaja	c.r.jakobsoni talumuuseumi	c.r.jakobsoni talumuuseum
Eisma	eisma sadam	eisma sadam
Eisma	rannarahva selts	rannarahva selts
