publisher_original	publisher_harmonized
!peatus	!peatus
(:)kivisildnik	:)kivisildnik
.C Print	.c
008 ja Kunst.ee	008&kunst.ee
1. diviisi suurtükiväe juhatus	1.diviisi suurtükiväe juhatus
1. diviisi suurtükiväe mõõdukomando	1.diviisi suurtükiväe mõõdukomando
1. jalaväe rügemendi üleajateenijate kogu kirjastu	1.jalaväe rügemendi üleajateenijate kogu
1. jalaväe rügement	1.jalaväe rügement
1. Seli piimaühisus	1.seli piimaühisus
10-10-10 Publishing	101010
120. a. juubeli-laulupeo toimkond	120.a.juubelilaulupeo toimkond
12kuud.net	12kuud.net
1905	1905
1905. Aasta Selts	1905.aasta selts
1910	1910
1918	1918
1980. a. Tallinna olümpiaregati pressikeskus	1980.a.tallinn olümpiaregati pressikeskus
1-е отд. Департамента Генерального штаба	1е отд.департамента генерального штаба
1-й Ленинградский медицинский институт	1й ленинградский медицинский институт
1-й Московский медицинский институт	1й московский медицинский институт
1Министерство здравоохранения Эстонской ССР	1министерство здравоохранения эстонской сср
2. diviisi staap	2.diviisi staap
2. diviisi suurtükiväe juhatus	2.diviisi suurtükiväe juhatus
2. soomusrongide rügemendi Ohvitseride Kogu	2.soomusrongide rügemendi ohvitseride kogu
20. Augusti Klubi	20.augusti klubi
2012	2012
21st Century Law Productions	21st century lav productions
22. territoriaalse laskurkorpuse staap	22.territoriaalse laskurkorpuse staap
249. Eesti Laskurdiviis	249.laskurdiviis
2-se diviisi staap	2se diviisi staap
2-е отделение Собственной его имп. величества канц	2е отделение собственной его имп.величества канцел
2-й Московский государственный институт им. Н. И. 	2й московский государственный институт им.н.и.пиро
2-й Отдел Собственной императорской канцелярии	2й отдел собственной императорской канцелярии
2-ой Московский государственный медицинский инстит	2ой московский государственный медицинский институ
2-ой Отдел Собственной имп. канцелярии	2ой отдел собственной имп.канцелярии
3. diviis	3.diviis
3. diviisi staap	3.diviis
3. Suurtükiväe Polk, ühing	3.suurtükiväe polk ühing
3. üksiku jalaväepataljoni ohvitseridekogu	3.üksiku jalaväepataljoni ohvitseridekogu
30pluss	30pluss
451 Editores	451 editores
4PÜHI kirjastus	4pühi
4Pühi Kirjastus	4pühi
4-й отдел Штаба и 2-го сектора Политического управ	4й отдел штаба и 2го сектора политического управле
5. jalaväe rügement	5.jalaväe rügement
5. Läänemaa laulupeo toimkond	5.läänemaa laulupeo toimkond
5. piiriküti pataljon	5.piiriküti pataljon
5. Rakvere jalaväe polk	5.rakvere jalaväe polk
50 Watts Books	50 vatts books
6. Rahvaväe Polgu Sõjaväelaste Ühing	6.rahvaväe polgu sõjaväelaste ühing
7. jalaväerügemendi ülem	7.jalaväerügemendi ülem
700 eilučių	700 eilučių
7-da Päeva Adventistide Eesti Ühisus	7da päeva adventistide ühing
7-nda Päeva Babtistide Kogudus	7nda päeva babtistide kogudus
9 Koma	9 koma
:Eggers [etc.]	:eggers etc
:[s. n.]	:s.n
?	s.n
A & Alif Studium	a&alif studium
A Midsummer Night's Press	a midsummer night
A&E Keeltekool	a&e keeltekool
A&E Keeltekool MTÜ	a&e keeltekool
"A&S ""Ühiselu"" trükk"	a&s ühiselu
A. & C. Black	a.& c.black
A. & P. Mietens	a.& p.mietens
