find_this	replace_with	type
[s.n.]		exact
[s.n.		exact
s.n.]		exact
s. n.		exact
s.n.		exact
s n.		exact
s.n		exact
^s.n.		regex_replace
3.diviisi staap	3.diviis	exact
a.busch'i rmtkpl.	a.busch	exact
a.ingelman	a.ingelmann	exact
b.pärli	br.pärli	exact
c.mathiesen	k.mattiesen	exact
draamastuudio teater	draamateater	exact
eesti draama studio	draamateater	exact
eesti draamastuudio	draamateater	exact
eesti draamateater	draamateater	exact
draamateaater	draamateater	exact
eesti karskuseseltside kestoimekond	eesti karskusliit	exact
eesti karskusseltside kesktoimekond	eesti karskusliit	exact
eesti kirjanduse seltsi kodu uurimise toimkond	eesti kirjanduse selts	exact
eesti kirjanduse seltsi koolikirjanduse toimkond	eesti kirjanduse selts	exact
eesti kirjanduse kirjastus	eesti kirjandus	exact
eesti kubermangu kooliõp.vastastikkuse abiandm.selts	eesti kubermangu kooliõpetajate vastastikku abiandmise selts	exact
eestimaa konsistooriumi kirj kassa	eestimaa konsistooriumi kirjastuskassa	exact
eestimaa kooliõpetajate vastast.abiandm.selts	eestimaa kooliõpetajate selts	exact
eestimaa kooliõpetajate vastastiku abiandmise seltsi raamatukauplus	eestimaa kooliõpetajate selts	exact
eestimaa kooliõpetajate selts	eesti õpetajate liit	exact
#eestimaa kooliõpetajate vastastiku abiandmise selts (k./ü.\\"\\"\\"\\"kool\\"\\"\\"\\")	eestimaa kooliõpetajate selts	exact
eesti nmkü liit	eesti noorte meeste kristlike ühingute liit	exact
eesti põllutöö kirjanduse ühendus	eesti põllutöö ühendus	exact
eesti töörahva kommuuna kultuura ja ariduse valitsus	eesti töörahwa kommuuna kultuura ja ariduse walitsus	exact
estoonia muusika osakond	estonia muusika osakond	exact
f.brandt	f.brandt	exact
fr.kreutzwald	f.r.kreutzwald	exact
füüsika õpetamise komisjon	füüsika õpetamiskomisjon	exact
g.pihlaka raamatukauplus	g.pihlakas	exact
g.pihlaka ramatukauplus	g.pihlakas	exact
g.pihlaka rmtkpl.	g.pihlakas	exact
pihlakas'e kirjastus	g.pihlakas	exact
g.vänja	g.wänja kuluga rosenberg	exact
g.v.rosenberg	g.wänja kuluga rosenberg	exact
g.v.rosenberg?	g.wänja kuluga rosenberg	exact
g.vänjag.rosenberg	g.wänja kuluga rosenberg	exact
hariduse ja sotsiaalministeerium	hariduse ja sotsiaalministeerium	exact
hariduse ja sotsiaalministeeriumi koolivalitsus	hariduse ja sotsiaalministeerium	exact
haridus ja sotsiaalministeerium	hariduse ja sotsiaalministeerium	exact
haridus ja sotsiaalministeeriumi koolivalitsus	hariduse ja sotsiaalministeerium	exact
haridusministeeriumi kirjastus	haridusministeerium	exact
haridusministeeriumi koolivalitsus	haridusministeerium	exact
haridusministeeriumi kutseoskuse osakond	haridusministeerium	exact
h.laasi raamatukauplus	h.laasi rmtkpl.	exact
h.leoke'se rmtkpl.	h.leoke	exact
h.treffneri gümnaasium	hugo treffneri gümnaasium	exact
internationali traktaati selts osakond tartus	internatsionaali traktaadiselts	exact
internatsionali traktadiselts	internatsionaali traktaadiselts	exact
dreimanni rmtkpl.	j.dreimann	exact
j.dreimanni rmtkpl	j.dreimann	exact
j.treimann	j.dreimann	exact
j.e.meigas ja j.kehlmann	j.e.meigase rmtkpl	exact
j.g.marquardt)	j.g.marquardt	exact
j.h.gressel)	j.h.gressel	exact
j.kalkun'i raamatukauplus	j.kalkuni raamatukauplus	exact
j.keerdo	j.kerdo	exact
j.kerdo :	j.kerdo	exact
j.lass	joh.lass	exact
joh.semmiste	joh.semm	exact
j.palmgren'i raamatukauplus	j.palmgren	exact
j.palmgreni rmtkpl	j.palmgren	exact
j.palmgreni rmtkpl.	j.palmgren	exact
j.ploompuu rmtkpl.	j.ploompuu	exact
j.ploompuu raamatukauplus	j.ploompuu	exact
ploompuu raamatukauplus	j.ploompuu	exact
ploompuu	j.ploompuu	exact
j.reimanni pealadu	j.reimanni rmtkpl	exact
reimanni raamatukauplus	j.reimanni rmtkpl	exact
j.r.rerzold	j.r.rezold	exact
j.tamman	j.tammann	exact
jummala sanna väljalautamisse sõbbrad	jummala sanna wäljalautamisse söbbrad	exact
jutuleht :	jutuleht	exact
kaitseliidu peastaap	kaitseliit	exact
kaitseväe ühendatud õppeasutiste staap	kaitseväe ühendatud õppeasutised	exact
kaitseväe ühendatud õppeasutused	kaitseväe ühendatud õppeasutised	exact
kaitseväe ühendatud õppeasutuste ohvitseride kogu	kaitseväe ühendatud õppeasutised	exact
kaitsevägede ühendatud õppeasutiste staap	kaitseväe ühendatud õppeasutised	exact
kaitsevägede staabi ii osakond	kaitsevägede staap	exact
kaitsevägede staabi vi osakond	kaitsevägede staap	exact
kaitsevägede staabi v osakond	kaitsevägede staap	exact
kaitsevägede ülemjuhataja	kaitsevägede staap	exact
k.busch'i raamatukauplus	k.busch	exact
k.busch'i rmtkpl.	k.busch	exact
k.buschi rmtkpl.	k.busch	exact
kili & co.	kili & co	exact
kili & ko	kili & co	exact
kindralstaabi 6.osakond	kindralstaap	exact
kindralstaabi ii osakond	kindralstaap	exact
kindralstaabi iv osakond	kindralstaap	exact
kindralstaabi vi osakond	kindralstaap	exact
k.laurmanni rmtkpl.	k.laurmann	exact
kluge ja ströhmi raamatukauplus	kluge ja ströhm	exact
c.mattiesen	k.mattiesen	exact
kristliku rahwakirjanduse agentur	kristliku rahvakirjanduse agentur	exact
kristlik 7 da päeva adventistide eesti ühisus	kristlik seitsmenda päewa adwentistide eesti ühisus	exact
k.sööt ja g.roht	k.sööt	exact
küõ õppejaoskond	kaitseväe ühendatud õppeasutised	exact
küõ sõjakool	kaitseväe ühendatud õppeasutised	exact
küõ sõjakooli patarei	kaitseväe ühendatud õppeasutised	exact
mattiesen	k.mattiesen	exact
merekindluste staap	merejõudude staap	exact
merelaevastiku divisjoni staap	merejõudude staap	exact
merijõudude staap	merejõudude staap	exact
naiskodukaitse keskjuhatus	naiskodukaitse	exact
n.erna ;	n.erna	exact
noorte kotkaste päästaap	noorte kotkaste peastaap	exact
odamees carl sarap	odamees	exact
paltimaa õigeusus vennaste selts ja riia peetri pauluse vennasteselts	paltimaa õigeusu vennaste selts	exact
paltimaa õigeusu vennaste selts ja riia peetri pauluse vennaste selts	paltimaa õigeusu vennaste selts	exact
paltimaa õigeusu vennasteselts ja riia peetri pauluse vennaste selts	paltimaa õigeusu vennaste selts	exact
pärnu maakonnavalitsuse haridusosakond	pärnu maakonna koolivalitsus	exact
p.erna raamatukauplus	p.erna	exact
p.erna rmtkpl	p.erna	exact
p.erna rmtkpl.	p.erna	exact
postimehe rmtkpl	postimees	exact
postitalitus	postivalitsus	exact
posti telegraafi telefoni valitsus	postivalitsus	exact
r.krupp.	r.krupp	exact
r.põder'i rmtkpl	r.põder	exact
r.põderi rmtkpl.	r.põder	exact
schnackenburg	schnakenburg	exact
schnakenburg :	schnakenburg	exact
seiler	seileri mootoritehas	exact
spadv eesti liit	spadv kog.eesti liit	exact
spadvk eesti liit	spadv kog.eesti liit	exact
spadwk eesti liit	spadv kog.eesti liit	exact
tallinna eesti kirjastuse ühisus ;	tallinna eesti kirjastuse ühisus	exact
tallinna eesti kirjastus ühisus	tallinna eesti kirjastuse ühisus	exact
tallinna kubermangu karskuse kuratoorium	tallinna kubermangu karskuse kuratorium	exact
tallinna kubermangu karskuse kuratoriumi väljaanne	tallinna kubermangu karskuse kuratorium	exact
tallinna kub.karskuse kuratorium	tallinna kubermangu karskuse kuratorium	exact
t.m.franzdorfi raamatukauplus	t.m.franzdorf	exact
t.mutsu teatrikirjastus	t.mutsu	exact
vanemuine	vanemuise näitelava	exact
vanemuise näielava	vanemuise näitelava	exact
vanemuise näitelava.	vanemuise näitelava	exact
vanemuise teater	vanemuise näitelava	exact
wanemuise näitelava	vanemuise näitelava	exact
wanemuise näitelawa	vanemuise näitelava	exact
tarto wannemuine selts	vanemuise näitelava	exact
võru õpetajateseminar	võru õpetajate seminar	exact
võru seminar	võru õpetajate seminar	exact
w.bormi pär.	w.borm	exact
f.w.borm	w.borm	exact
eesti kirjanduseselts	eesti kirjanduse selts	exact
hermann	k.a.hermann	exact
hermann'i raamatukauplus	k.a.hermann	exact
pealadu hermanni rmtkpl.	k.a.hermann	exact
hermanni raamatukauplus	k.a.hermann	exact
hermann'i rmtkpl.	k.a.hermann	exact
pealadu hermanni kaupluses	k.a.hermann	exact
leoke'se kirjastus	h.leoke	exact
leoke	h.leoke	exact
leoke'se raamatuäri antikvariaat	h.leoke	exact
eesti karskuseseltside kesktoimekond	eesti karskusliit	exact
eesti karskusseltside kesktoimkond	eesti karskusliit	exact
briti ja väljamaa piibliselts	briti ja välismaa piibliselts	exact
lindfors	lindfors	regex_replace
h\\.leoke	h.leoke	regex_replace
a\\.busch	a.busch	regex_replace
jummala	jummala sanna wäljalautamisse söbbrad	regex_replace
noor eesti	noor eesti	regex_replace
mutsu	t.mutsu	regex_replace
ploompuu	j.ploompuu	regex_replace
postimehe	postimees	regex_replace
postimees	postimees	regex_replace
