publication_place_control	place_for_edits	N	diff	Source	lat	lon	est_loc	newdiff	country	country_revgeo
""	Algeria	1	142.594767769	arcgis	28.144113769	2.679965933				Algeria
""	Algeria	1	142.594767769	google	28.033886	1.659626				Algeria
at	Austraalia	7	1.93479557	arcgis	-25.70993157	134.484031198			Australia	Australia
at	Austraalia	7	1.93479557	geonames	-25	135			Australia	Australia
at	Austraalia	7	1.93479557	google	-25.274398	133.775136			Australia	Australia
at	Australia	2	1.14442876799999	arcgis	-25.70993157	134.484031198			Australia	Australia
at	Australia	2	1.14442876799999	google	-25.274398	133.775136			Australia	Australia
at	Bathurst	1	213.0206487	google	-33.4111857	149.578693			Australia	Australia
at	Bermagui South	1	184.4947884	arcgis	33.3444933	35.3532897			Australia	Lebanon
at	Bermagui South	1	184.4947884	google	-36.4271922	150.0763926			Australia	Australia
at	Granville	1	235.282850559	geodump	-33.8406	151.00748			Australia	Australia
at	Greenacres, Australia	1	13.3944829	arcgis	-34.8706747	138.6372811			Australia	Australia
at	Greenacres, Australia	1	13.3944829	google	-33.903467	151.0645563			Australia	Australia
at	Rozelle	2	245.090753803	google	-33.8638543	151.1701171			Australia	Australia
at	Sidney	3	309.5191422	geodump	-33.86785	151.20732			Australia	Australia
at	Sidney	3	309.5191422	google	-33.8688197	151.2092955			Australia	Australia
at	Victoria [Australia]	1	1.25232100655199	arcgis	-37.155310006432	144.47239910012			Australia	Australia
at	Victoria [Australia]	1	1.25232100655199	google	-36.9847807	143.3906074			Australia	Australia
au	Austria	1	0.482574057000001	arcgis	47.585810005	14.137076948			Austria	Austria
au	Austria	1	0.482574057000001	google	47.516231	14.550072			Austria	Austria
au	Gratz	2	108.9960391	geodump	47.06667	15.45			Austria	Austria
au	Gratz	2	108.9960391	google	47.0678961	15.4417305			Austria	Austria
be	Belgia	2	0.327930364000003	arcgis	50.640682937	4.661070427			Belgium	Belgium
be	Belgia	2	0.327930364000003	google	50.503887	4.469936			Belgium	Belgium
be	Belgium	1	0.327930364000003	arcgis	50.640682937	4.661070427			Belgium	Belgium
be	Belgium	1	0.327930364000003	google	50.503887	4.469936			Belgium	Belgium
be	Louvain	5	0.305358353000004	arcgis	50.88217327	4.705905083			Belgium	Belgium
be	Louvain	5	0.305358353000004	geodump	50.87959	4.70093			Belgium	Belgium
be	Louvain	5	0.305358353000004	geonames	50.66829	4.61443			Belgium	Belgium
be	Louvain	5	0.305358353000004	google	50.8791453	4.7024648			Belgium	Belgium
be	Luxembourg	5	0.277947753000001	arcgis	49.776828429	6.092325247			Belgium	Luxembourg
be	Luxembourg	5	0.277947753000001	geodump	49.61167	6.13			Belgium	Luxembourg
be	Luxembourg	5	0.277947753000001	geonames	49.75	6.16667			Belgium	Luxembourg
be	Luxembourg	5	0.277947753000001	google	49.815273	6.129583			Belgium	Luxembourg
be	Oxford	1	268.2599463	arcgis	51.751982637	-1.257628796			Belgium	UK:Great Britain
be	Oxford	1	268.2599463	geodump	51.75222	-1.25596			Belgium	UK:Great Britain
be	Oxford	1	268.2599463	google	51.7520209	-1.2577263			Belgium	UK:Great Britain
bu	Bulgaaria	2	0.270543150999998	arcgis	42.755008391	25.23641224			Bulgaria	Bulgaria
bu	Bulgaaria	2	0.270543150999998	google	42.733883	25.48583			Bulgaria	Bulgaria
bu	Ruse	1	13.202156236	geodump	43.84872	25.9534			Bulgaria	Bulgaria
bw	Мiнск	19	7.4460325	arcgis	53.2599632	34.3643666			Belarus	Russia
bw	Мiнск	19	7.4460325	geonames	53.9	27.56667			Belarus	Belarus
bw	Мiнск	19	7.4460325	google	53.9006011	27.558972			Belarus	Belarus
dk	Fredrikshavn	1	19.818533	google	57.442711	10.521006			Denmark	Denmark
dk	Holte	1	7.5451027	arcgis	55.8077991	12.4487593			Denmark	Denmark:Sjaelland
dk	Holte	1	7.5451027	geodump	55.81667	12.46667			Denmark	Denmark:Sjaelland
dk	Latvia	1	0.348675136000004	arcgis	56.85460987	24.926839006			Denmark	Latvia
dk	Latvia	1	0.348675136000004	google	56.879635	24.603189			Denmark	Latvia
dk	Luxembourg	5	0.277947753000001	arcgis	49.776828429	6.092325247			Denmark	Luxembourg
dk	Luxembourg	5	0.277947753000001	geodump	49.61167	6.13			Denmark	Luxembourg
dk	Luxembourg	5	0.277947753000001	geonames	49.75	6.16667			Denmark	Luxembourg
dk	Luxembourg	5	0.277947753000001	google	49.815273	6.129583			Denmark	Luxembourg
dk	Taani	7	0.856768274999997	arcgis	55.959300779	10.053934054			Denmark	Denmark
dk	Taani	7	0.856768274999997	geonames	56	10			Denmark	Denmark
dk	Taani	7	0.856768274999997	google	56.26392	9.501785			Denmark	Denmark
dk	Viborg	3	23.612086	geodump	60.70763	28.75283			Denmark	Russia
dk	Latvia	1	0.348675136000004	arcgis	56.85460987	24.926839006		0.348675136000004	Denmark	Latvia
dk	Latvia	1	0.348675136000004	google	56.879635	24.603189		0.348675136000004	Denmark	Latvia
er	Ameerika Ühendriigid	2	7.724326666	arcgis	39.398703156	-99.41461919			Estonia	USA
er	Ameerika Ühendriigid	2	7.724326666	google	38.7945952	-106.5348379			Estonia	USA
