place_for_edits	place_unlist	N
""	(	13
""	24 lk	1
""	8 lk	1
""	?	5
""	Abo, 1973	1
""	S. l	518
""	S. l.	47
""	S. l. : s. n	1
""	S. l. : s.n	1
""	S. l. :s.n	4
""	S. l.] :[s.n.	1
""	S.l	693
""	S.l.	329
""	s. l	5
""	s.l	7
""	s.l.	2
""	©2007	1
""	©2019	2
""	©2020	1
""	©2021	1
""	©2022	1
""	Б.м	1
""	Б.м.	5
""	/[Austraalia]	1
""	(  :	1
""	( :	38
""	(:	8
""	Ilmumiskoht teadmata	3
""	T(Tallinn	1
""	T[allinn	1
""	Uus ja täiendatud väljaanne	1
""	e([Lohkva (Tartumaa)]	1
""	e([Põltsamaa]	1
's-Gravenhage	's-Gravenhage	1
*Таллин	*Таллин	1
A'Beckett St, Victoria	A'Beckett St, Victoria	1
A. Mickwitz	A. Mickwitz	2
A. Tõllasepp	A. Tõllasepp	1
Aachen	Aachen	3
Aadami	Aadami (Kastre vald)	1
Aadmal	Aadmal [Hiiumaa]	1
Aakre	Aakre	1
Aalborg	Aalborg	1
Aarau	Aarau	1
Aare	Aare	1
Aarhus	Aarhus	3
Aarhus	Aarhus [etc.]	1
Aaspere	Aaspere	1
Aaviku	Aaviku	1
Aaviku küla	Aaviku küla	1
Aberdeen	Aberdeen	1
Abertawe	Abertawe	1
Abingdon	Abingdon	3
Abington	Abington	1
Abja	Abja	14
Abja	Abjas	1
Abja	Абя	1
Abja-Paluoja	Abja-Paluoja	22
Abja-Paluoja	Abja-Paluoja (Viljandimaa)	1
Abja-Paluoja	Abja-Paluoja [Viljandimaa]	1
Abja-Paluoja, Mulgimaa	[Abja-Paluoja], Mulgimaa	1
Abo	Abo	9
Aboæ	Aboæ	1
Abruka	Abruka	2
Absecon	Absecon?	1
Achim	Achim	1
Adavere	Adavere	3
Adavere	Adavere [Jõgevamaa]	1
Adelaide	Adelaide	103
Adelaide	Adelaide?	2
Adra küla	Adra küla (Harku vald)	1
Aegna	Aegna	1
Aegviidu	Aegviidu	63
Aegviidu	Aegviidu [Harjumaa]	3
Aegviidu	Aegviidus	10
Aegviidu	Aegviidus [Harjumaa]	1
Aegviidu	Aegwiidus	1
Aespa	Aespa	93
Agen	Agen	1
Ahrensburg	Ahrensburg	1
Ahtme	Ahtme	3
Aichach	Aichach	3
Aizpute	Aizpute	1
Ajakirjade	Ajakirjade	1
Ajanta Offset and Packagings Limited	Ajanta Offset and Packagings Limited	1
Al-Qāhirah	Al-Qāhirah	1
Ala	Ala	1
Alatskivi	Alatskivi	17
Alatskivi	Alatskivi (Tartumaa)	1
Alatskivi	Alatskivi [Tartumaa]	2
Alatskivil	Alatskivil	1
Alavere	Alavere	1
Albany	Albany	1
Alberta	Alberta	1
Albolote	Albolote (Granada)	1
Albu	Albu	7
Albu	Albu [Järvamaa]	3
Albu küla	Albu küla	1
Aldershot	Aldershot [etc.]	4
Alexandria	Alexandria (Virginia)	5
Alexandria, Virginia	Alexandria, Virginia	1
Alfter-Oedekoven	Alfter-Oedekoven	1
Algeria	Algeria	1
Allika	Allika	1
Allikjärve küla	Allikjärve küla	1
Alliku	Alliku	21
Alliku	Alliku (Harjumaa	1
Alliku	Alliku (Harjumaa)	22
Alliku küla	Alliku küla	4
Alnarp	Alnarp	1
Alphen aan den Rijn	Alphen aan den Rijn	7
Altdorf	Altdorf	5
Alten Stettin	Alten Stettin	2
Altenburg	Altenburg	24
Altenstadt	Altenstadt	2
