standardizing_name	publisher_unlist	place_harmonized	n_works	years_publisher	big_pub	min_time	max_time	replace_with	type	n_types	n_sum	big_pub2	count_standardized
1.seli piimaühisus	1. Seli piimaühisus	""	1	1		1924	1924	1.seli piimaühisus	regex_partial	1	1		1
a.kokk	A. Kokk	""	3	3		1981	2018	a.kokk	regex_partial	3	9		1
a.s.võru külaehituskoondis	"A.-s.""Võru Külaehituskoondis"""	""	1	1		1991	1991	a.s.võru külaehituskoondis	regex_partial	1	1		1
a/s aurelia	"a/s ""Aurelia"""	""	1	1		1991	1991	a/s aurelia	regex_partial	1	1		1
abistamiskomitee kanadas	Eesti Abistamiskomitee Kanadas	""	2	2		1955	1961	abistamiskomitee kanadas	regex_partial	2	4		1
addisonvesley	Addison-Wesley	""	2	2		1988	2005	addisonvesley	regex_partial	2	4		1
ahtme ehitusmaterjalide tehase lastefotostuudio	Ahtme Ehitusmaterjalide Tehase Lastefotostuudio	""	1	1		1988	1988			1	1		1
aktsia selts ennem.seidel&naumann dresdenisfr	Aktsia selts ennem. Seidel ja Naumann Dresdenis-Fr	""	1	1				aktsia selts ennem.seidel&naumann dresdenisfr	regex_partial	1	1		1
american council of learned societies	American Council of Learned Societies	""	1	1		1964	1964			1	1		1
apostlikõigeusu kirik	Eesti Apostlik-Õigeusu Kirik	""	7	7		1938	2020	apostlikõigeusu kirik	regex_partial	3	15		2
apostlikõigeusu kirik	Eesti Apostlik-õigeusu Kirik	""	1	1		1948	1948	apostlikõigeusu kirik	regex_partial	3	15		2
arbetarskyddsstyrelsen yrkesinspektionen	Arbetarskyddsstyrelsen Yrkesinspektionen	""	1	1		1997	1997			1	1		1
association of baltic numismatists	Association of Baltic Numismatists	""	2	2		2016	2019			2	4		1
aurulaeva trükis	Aurulaeva trükis	""	4	3		1990	1993			1	4		1
b&s	B&S	""	1	1						1	1		1
balti instituut	Balti Instituut	""	1	1		1974	1974			1	1		1
baltiska institutet	Baltiska Institutet	""	4	4		1975	1994			3	10		1
bhaktivedanta book trust	Bhaktivedanta Book Trust	""	6	4		1993	2018			4	24		1
bläschke	Bläschke	""	1	1		1984	1984			1	1		1
