standardizing_name	publisher_unlist	groups	useful_link.x	N	useful_link.y	selflink
a.jung	A. Jung	a.jung				
j.jung	J. Jung	a.jung	T			
a.tõllasep	A. Tõllasep'a raamatukauplus	a.tõllasep				
a.tõllasepa	A. Tõllasepa rmtkpl	a.tõllasep	T			
a.tõllasepp	A. Tõllasepp	a.tõllasep	T	2	T	TRUE
a.tõllasepp	A. Tõllasepp'a raamatukauplus	a.tõllasep	T	2	T	FALSE
a.tõllassepp	A. Tõllassepp	a.tõllasep	T			
aeg	Aeg	aeg				
uus aeg	Uus Aeg	aeg	T			
association cns 53	Association CNS 53	association cns 53				
ühing cns 53	Ühing CNS 53	association cns 53	T			
c.r.jakobsoni nim.gümnaasium	C. R. Jakobsoni nimeline Gümnaasium	c.r.jakobsoni nim.gümnaasium		2	T	FALSE
c.r.jakobsoni nim.gümnaasium	C.R. Jakobsoni nim. Gümnaasium	c.r.jakobsoni nim.gümnaasium		2	T	TRUE
c.r.jakobsoni nim.viljandi 1.keskkool	C. R. Jakobsoni nim. Viljandi 1. Keskkool	c.r.jakobsoni nim.gümnaasium	T			
carl robert jakobsoni nim.gümnaasium	Carl Robert Jakobsoni nimeline Gümnaasium	c.r.jakobsoni nim.gümnaasium	T			
digiraamatute keskus	Eesti Digiraamatute Keskus	digiraamatute keskus				
digiraamatute keskus (levitaja	Eesti Digiraamatute Keskus (levitaja)	digiraamatute keskus	T			
druck von f.feldt	Druck von F. Feldt	druck von f.feldt				
f.feldt	F. Feldt	druck von f.feldt	T			
e.eha	E. Eha	e.eha				
elle eha	Elle Eha	e.eha	T			
e.j.karov	E. J. Karow	e.j.karov		2	T	TRUE
e.j.karov	Verlag von E. J. Karow's Universitätsbuchhandlung	e.j.karov		2	T	FALSE
e.j.karov`s	Verlag von E. J. Karow`s Universitäts-Buchhandlung	e.j.karov	T			
e.kukk	E. Kukk	e.kukk				
t.kukk	T. Kukk	e.kukk	T			
e.o.kuiv	E. O. Kuiv	e.o.kuiv				
k.kuiv	K. Kuiv	e.o.kuiv	T			
e.roosalu	E. Roosalu	e.roosalu				
fr.roosman	Fr. Roosman	e.roosalu	F			
e.tööerakonna viljandi büroo	E. Tööerakonna Viljandi büroo	e.tööerakonna viljandi büroo				
tööerakonna viljandi büroo	Eesti Tööerakonna Viljandi büroo	e.tööerakonna viljandi büroo	T			
ekp viljandi rajoonikomitee	EKP Viljandi Rajoonikomitee	ekp viljandi rajoonikomitee				
elknü viljandi rajoonikomitee	ELKNÜ Viljandi Rajoonikomitee	ekp viljandi rajoonikomitee	T			
evangeelse luterliku kiriku viljandi pauluse kogud	[Eesti Evangeelse Luterliku Kiriku] Viljandi Paulu	evangeelse luterliku kiriku viljandi pauluse kogud				
pauluse kogudus	Pauluse kogudus	evangeelse luterliku kiriku viljandi pauluse kogud	T			
g.kiiler	G. Kiiler	g.kiiler				
ü.kiiler	Ü. Kiiler	g.kiiler	T			
g.schürmann	G. Schürmann	g.schürmann				
schürmann	Schürmann	g.schürmann	T			
h.leoke	H. Leoke	h.leoke		9	T	TRUE
h.leoke	H. Leoke' se kirjastus	h.leoke		9	T	FALSE
h.leoke	H. Leoke'se kirjastus	h.leoke		9	T	FALSE
h.leoke	H. Leoke'se raamatukauplus	h.leoke		9	T	FALSE
h.leoke	H. Leoke'se rmtkpl	h.leoke		9	T	FALSE
h.leoke	H. Leokese Ajakirjanduse-Kontor	h.leoke		9	T	FALSE
h.leoke	H. Leokese raamatukauplus	h.leoke		9	T	FALSE
h.leoke	Leoke	h.leoke		9	T	FALSE
h.leoke	Leoke'se kirjastus	h.leoke		9	T	FALSE
m.leoke	M. Leoke	h.leoke	T			
helios	Helios	helios		3	T	TRUE
helios	Helios Kirjastus	helios		3	T	FALSE
helios	Helios kirjastus	helios		3	T	FALSE
helios izdevniecība	Helios Izdevniecība	helios	T	2	T	TRUE
helios izdevniecība	Helios izdevniecība	helios	T	2	T	FALSE
izdevniecība helios	Izdevniecība Helios	helios	T			
helios leidykla	Helios Leidykla	helios leidykla		2	T	TRUE
helios leidykla	Helios leidykla	helios leidykla		2	T	FALSE
leidykla helios	Leidykla Helios	helios leidykla	T			
j.liiva	J. Liiva	j.liiva				
m.liiva	M. Liiva	j.liiva	T	2	T	TRUE
m.liiva	M. Liiva rmtkpl	j.liiva	T	2	T	FALSE
j.lind	J. Lind	j.lind				
t.lindma	T. Lindma	j.lind	F			
j.linnu raamatukauplus	J. Linnu raamatukauplus	j.linnu raamatukauplus				
j.m.jaanuse raamatukauplus	J. M. Jaanuse raamatukauplus	j.linnu raamatukauplus				
j.nurmberg	J. Nurmberg	j.nurmberg				
joh.nurmberg	Joh. Nurmberg	j.nurmberg	T			
j.reevits	J. Reevits	j.reevits				
j.reevitsa	J. Reevitsa rmtkpl	j.reevits	T			
j.sander	J. Sander	j.sander				
sander	Sander	j.sander	T			
j.sarapuu	J. Sarapuu	j.sarapuu				
jaak sarapuu	Jaak Sarapuu	j.sarapuu	T	3	T	TRUE
jaak sarapuu	Jaak Sarapuu Kirjastus	j.sarapuu	T	3	T	FALSE
jaak sarapuu	[Jaak] Sarapuu Kirjastus	j.sarapuu	T	3	T	FALSE
kaitseliidu sakala malev	Kaitseliidu Sakala Malev	kaitseliidu sakala malev				
kaitseliidu sakalamaa malev	Kaitseliidu Sakalamaa malev	kaitseliidu sakala malev	T			
ktk	KTK	ktk				
ktk overall	KTK Overall	ktk	T			
kultuuriministeerium	Kultuuriministeerium	kultuuriministeerium				
nsv kultuuriministeerium	Eesti NSV Kultuuriministeerium	kultuuriministeerium	T			
meie kodumaa	Meie Kodumaa	meie kodumaa		2	T	TRUE
meie kodumaa	Meie Kodumaa rmtkpl	meie kodumaa		2	T	FALSE
meie kodumaa raamatukauplus	"""""Meie Kodumaa"""" raamatukauplus"	meie kodumaa	T			
pealadu meie kodumaa raamatukauplus	"Pealadu """"Meie Kodumaa"""" raamatukauplus"	meie kodumaa	T			
otto vilhelm	Otto Wilhelm	otto vilhelm				
otto vilhelm eritoitumine	Otto Wilhelm, Eritoitumine	otto vilhelm	T			
print best	Print Best	print best				
print best printin company	Print Best Printin Company	print best	T			
printon	Printon	print best	F			
pärimusmuusika keskus	Eesti Pärimusmuusika Keskus	pärimusmuusika keskus				
pärimusmuusika keskus pärimusmuusika teabekogu	Eesti Pärimusmuusika Keskus, Pärimusmuusika teabek	pärimusmuusika keskus	T			
põlva rajooni töörahva saadikute nõukogu täitevkom	Põlva Rajooni Töörahva Saadikute Nõukogu Täitevkom	põlva rajooni töörahva saadikute nõukogu täitevkom				
viljandi rajooni töörahva saadikute nõukogu	Viljandi Rajooni Töörahva Saadikute Nõukogu	põlva rajooni töörahva saadikute nõukogu täitevkom	T			
viljandi rajooni töörahva saadikute nõukogu täitev	Viljandi Rajooni Töörahva Saadikute Nõukogu Täitev	põlva rajooni töörahva saadikute nõukogu täitevkom	T			
