harm_name	lat	lon	N	publication_place_control	true_place
Viljandi	58.36	25.6	6928	er 	T
Haapsalu	58.94	23.54	894	er 	T
Itaalia	42.82	12.84	511	er 	T
Leedu	58.98	25.56	210	er 	F
Sweden	64.7	17.26	132	sw 	T
Kaliningrad	54.72	20.52	92	ru 	T
Rome	41.88	12.48	80	it 	T
Pärnu-Jaagupi	58.6	24.52	44	er 	T
Kanepi	57.98	26.76	40	er 	T
Iisaku	59.1	27.3	40	er 	T
Alu (Raplamaa)	59.02	24.76	33	er 	T
Lakewood	40.1	-74.22	26	xxu	T
Cambridge [etc.	52.2	0.12	24	xxk	T
Tori	58.48	24.82	24	er 	T
Kuremäe	59.2	27.54	23	er 	T
Basel	47.56	7.58	21	sz 	T
Skopje	42	21.44	20	xn 	T
Rõngu	58.16	26.24	19	er 	T
Suure-Jaani	58.54	25.46	19	er 	T
Tarvastu	58.22	25.86	18	er 	T
Luunja	58.36	26.88	17	er 	T
Bielefeld	52.02	8.52	17	gw 	T
Lüganuse	59.38	27.04	17	er 	T
Cēsis	57.32	25.26	16	lv 	T
Naumburg	51.16	11.82	15	gw 	T
Painküla (Jõgevamaa)	58.72	26.4	15	er 	T
Pulli (Pärnumaa)	58.42	24.68	13	er 	T
Aruküla	59.36	25.08	13	er 	T
Vormsi	59	23.22	13	er 	T
Belgrade	44.8	20.46	12	rb 	T
Kuusiku	58.8	22.52	12	er 	T
Athens	37.98	23.74	11	gr 	T
Groningen	53.22	6.58	10	ne 	T
Kallavere	59.48	25.04	9	er 	T
Hummuli	57.9	26.06	9	er 	T
Rostov-na-Donu	47.22	39.72	9	ru 	T
Vigala	59.1	26.26	8	er 	T
Tondi [Tallinn	59.4	24.74	8	er 	T
Gütersloh	51.9	8.38	8	gw 	T
Virumaa	57.78	26.94	8	er 	T
Räestu [Võrumaa]	57.84	27.02	7	er 	T
Lahti	60.98	25.66	7	fi 	T
Venevere	59	26.72	6	er 	T
Randvere	59.5	24.92	6	er 	T
Jaapan	36.66	139.28	6	ja 	T
Luua	58.64	26.6	6	er 	T
Göppingen	48.7	9.64	6	gw 	T
Hiiumaa	58.86	22.58	6	er 	T
Kristianstad	56.02	14.16	6	sw 	T
Kuremaa	58.74	26.52	6	er 	T
Pärsti	58.42	25.52	5	er 	T
Holstre	58.28	25.7	5	er 	T
Saverna (Põlvamaa)	58.08	26.72	5	er 	T
Szentendre	47.68	19.08	5	hu 	T
Schwabach	49.32	11.02	5	gw 	T
