publisher_unlist	standardizing_name	N	useful_link
A. Tõllasepp	a.tõllasepp	2	T
A. Tõllasepp'a raamatukauplus	a.tõllasepp	2	T
C.R. Jakobsoni nim. Gümnaasium	c.r.jakobsoni nim.gümnaasium	2	T
C. R. Jakobsoni nimeline Gümnaasium	c.r.jakobsoni nim.gümnaasium	2	T
E. J. Karow	e.j.karov	2	T
Verlag von E. J. Karow's Universitätsbuchhandlung	e.j.karov	2	T
H. Leoke	h.leoke	9	T
H. Leoke' se kirjastus	h.leoke	9	T
H. Leoke'se kirjastus	h.leoke	9	T
H. Leoke'se raamatukauplus	h.leoke	9	T
H. Leoke'se rmtkpl	h.leoke	9	T
H. Leokese Ajakirjanduse-Kontor	h.leoke	9	T
H. Leokese raamatukauplus	h.leoke	9	T
Leoke	h.leoke	9	T
Leoke'se kirjastus	h.leoke	9	T
Helios	helios	3	T
Helios Kirjastus	helios	3	T
Helios kirjastus	helios	3	T
Helios Izdevniecība	helios izdevniecība	2	T
Helios izdevniecība	helios izdevniecība	2	T
Helios Leidykla	helios leidykla	2	T
Helios leidykla	helios leidykla	2	T
Jaak Sarapuu	jaak sarapuu	3	T
Jaak Sarapuu Kirjastus	jaak sarapuu	3	T
[Jaak] Sarapuu Kirjastus	jaak sarapuu	3	T
M. Liiva	m.liiva	2	T
M. Liiva rmtkpl	m.liiva	2	T
Meie Kodumaa	meie kodumaa	2	T
Meie Kodumaa rmtkpl	meie kodumaa	2	T
Rahva Raamat	rahva raamat	2	T
Rahva Raamat AS	rahva raamat	2	T
Rahva Raamatu Kirjastus	rahva raamatu	2	T
Rahva Raamatu kirjastus	rahva raamatu	2	T
Sakala Pank	sakala pank	2	T
Sakala pank	sakala pank	2	T
Tartu Ülikool Viljandi Kultuuriakadeemia	tartu ülikool viljandi kultuuriakadeemia	2	T
Tartu Ülikool, Viljandi Kultuuriakadeemia	tartu ülikool viljandi kultuuriakadeemia	2	T
Tartu Ülikooli Viljandi Kultuuriakadeemia	tartu ülikooli viljandi kultuuriakadeemia	2	T
Tartu Ülikooli Viljandi kultuuriakadeemia	tartu ülikooli viljandi kultuuriakadeemia	2	T
Ugala Teater	ugala teater	3	T
Ugala [Teater]	ugala teater	3	T
Ugala teater	ugala teater	3	T
Viljandi Linnavalitsus	viljandi linnavalitsus	2	T
Viljandi] linnavalitsus	viljandi linnavalitsus	2	T
Viljandi Maavalitsus	viljandi maavalitsus	2	T
Viljandi maavalitsus	viljandi maavalitsus	2	T
Viljandi Eesti Põllumeeste Selts	viljandi põllumeeste selts	3	T
Viljandi Eesti Põllumeeste Seltsi kaubanduse osako	viljandi põllumeeste selts	3	T
Viljandi Põllumeeste Selts	viljandi põllumeeste selts	3	T
Viljandi Rajooni Rahvasaadikute Nõukogu Täitevkomi	viljandi rajooni rahvasaadikute nõukogu täitevkomi	2	NA
Viljandi Ühishaigekassa	viljandi ühishaigekassa	2	T
Viljandi Ühishaigekassa Kirjastus	viljandi ühishaigekassa	2	T
