harm_name	place_unlist	N
Tartu	Tartu	68848
Tartu	Tartus	6904
Tartu	Dorpat	6120
Tartu	Тарту	5439
Tartu	Юрьев	2201
Tartu	Jurjev	1140
Tartu	Jurjew	278
Tartu	Дерпт	235
Tartu	Jurjew (Dorpat)	141
Tartu	Tarto	104
Tartu	Tartu (Dorpat)	76
Tartu	Tartu?	59
Tartu	Jurjewis	55
Tartu	Dorpati Livonorum	31
Tartu	Tartu (Dorpat	30
Tartu	Dorpat?	22
Tartu	Tartto	12
Tartu	Tartun	11
Tartu	Юрьев?	10
Tartu	Tartu-Dorpat	10
Tartu	(Dorpat	9
Tartu	Tartumaa	9
Tartu	Derpt	8
Tartu	Jurjeff	8
Tartu	(Tartu	8
Tartu	Tarto linnas	7
Tartu	Юрьев-Дерпт	7
Tartu	Taрту	7
Tartu	Darpata	6
Tartu	Юрьев-Tartu	6
Tartu	Jurjevis	5
Tartu	Jurjewis (Tartus)	5
Tartu	Юрьев (Дерпт)	5
Tartu	Tartu / Ihaste	5
Tartu	Dorpat (Tartu)	4
Tartu	Tarbatu	4
Tartu	Tartus (Dorpat)	4
Tartu	Jurjev (Dorpat)	3
Tartu	Jurjew-Dorpat	3
Tartu	Jurjewis-Tartus	3
Tartu	Tarto Linnas	2
Tartu	Dorpat-Jurjew	2
Tartu	Jurjew?	2
Tartu	Jurjewa	2
Tartu	Jurjewis - Tartus	2
Tartu	Tartu/Dorpat	2
Tartu	Tērbata	2
Tartu	Dorpat (Estland)	1
Tartu	Dorpat [etc,]	1
Tartu	Dorpat [etc.]	1
Tartu	In Dorpat	1
Tartu	[Dorpat]?	1
Tartu	Ihaste	1
Tartu	Tarto [Tartu]	1
Tartu	Tarto-Linnas	1
Tartu	Tarto-linnas	1
Tartu	Tartos	1
Tartu	Dorpati Livon	1
Tartu	Dorpati Lovonorum	1
Tartu	Iouriew	1
Tartu	Iurievi Livonorum	1
Tartu	Ivrievi	1
Tartu	Ivrievi Livonorvm	1
Tartu	Juriew	1
Tartu	Jurjeff (Dorpat)	1
Tartu	Jurjev-Tartu	1
Tartu	Jurjew (Dorpat	1
Tartu	Jurjew(Dorpat)	1
Tartu	Jurjewi linan	1
Tartu	Jurjewi'n (Tartun)	1
Tartu	Jurjewin-Tartun	1
Tartu	Jurjewâ	1
Tartu	Jurjewâ (Tehrbatâ)	1
Tartu	Tarto liinan	1
Tartu	([Tartu (Tartu maakond)]	1
Tartu	)Tartu	1
Tartu	Tartu (Dorpt	1
Tartu	Tartu [i.e. Torino]	1
Tartu	Tartu [jne.	1
Tartu	Tartu [jne.]	1
Tartu	Tartu etc.	1
Tartu	Tartu linnas	1
Tartu	Tartu(Dorpat)	1
Tartu	Дерптъ	1
Tartu	Юрьев (Tartu)	1
Tartu	Юрьев (б. Дерпт)	1
Tartu	Юрьев : б.и	1
Tartu	Юрьев :s.n	1
Tartu	Tartu - Dorpat	1
Tartu	Veetka - Tartu	1
Tartu	В Дерпте	1
Tartu	ТАрту	1
Tartu	Тарту (Эстония)	1
Tartu	Тарту (Юрьев)	1
Tartu	Тарту [Эстонский научно-исследовательский институт животноводства и ветеринарии]	1
